Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Steelers,33,42,78.6,1_1,13_12,15_14,9_5,0_0,0_0,52,0
Bears,31,38,81.6,2_2,13_13,14_13,6_3,0_0,0_0,46,0
Saints,31,35,88.6,0_0,5_4,14_13,12_11,0_0,0_0,55,1
Lions,26,31,83.9,2_2,7_5,12_11,7_6,0_0,0_0,51,0
Jets,26,34,76.5,2_2,11_11,8_6,8_4,0_0,0_0,55,1
Eagles,25,30,83.3,0_0,6_6,11_11,8_6,0_0,0_0,52,0
Falcons,24,31,77.4,0_0,9_7,10_8,11_8,0_0,0_0,52,3
Bengals,24,33,72.7,0_0,8_7,13_12,6_4,0_0,0_0,53,0
Chiefs,24,27,88.9,0_0,4_4,11_10,7_7,0_0,0_0,58,0
Patriots,24,30,80,1_1,9_7,9_9,9_5,0_0,0_0,50,0
Broncos,23,38,60.5,2_2,9_7,11_6,11_8,0_0,0_0,48,1
Rams,22,29,75.9,0_0,5_5,12_9,8_6,0_0,0_0,52,0
Dolphins,22,27,81.5,0_0,9_8,6_5,9_9,0_0,0_0,49,1
Giants,22,33,66.7,1_1,9_6,9_7,12_7,0_0,0_0,52,0
Buccaneers,22,32,68.8,1_1,5_5,10_8,10_5,0_0,0_0,53,1
Redskins,22,35,62.9,0_0,8_7,13_8,13_7,0_0,0_0,48,0
Oilers,21,27,77.8,0_0,7_6,11_8,6_4,0_0,0_0,52,0
Raiders,20,32,62.5,0_0,9_9,10_7,12_3,0_0,0_0,51,1
Cowboys,19,28,67.9,1_1,5_5,11_8,9_4,0_0,0_0,53,0
Packers,19,26,73.1,0_0,12_10,4_4,9_5,0_0,0_0,46,3
Chargers,18,28,64.3,1_1,8_8,10_6,7_3,0_0,0_0,46,2
Colts,16,26,61.5,0_0,11_9,6_5,6_2,0_0,0_0,41,1
Vikings,15,26,57.7,2_1,11_10,7_3,5_1,0_0,0_0,49,3
Browns,14,18,77.8,1_1,2_2,9_8,5_3,0_0,0_0,45,1
Seahawks,14,25,56,0_0,5_5,9_7,8_1,0_0,0_0,51,0
Bills,13,17,76.5,0_0,8_7,4_2,5_4,0_0,0_0,49,0
Cardinals,13,28,46.4,1_1,5_3,8_5,10_4,0_0,0_0,49,0
49ers,13,21,61.9,0_0,7_5,8_5,5_3,0_0,0_0,45,4
