Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Oilers,399,5072,12.7,37,70,9,87,251,62.9,0
49ers,360,4371,12.1,28,47,9,78,201,55.8,0
Rams,310,4016,13,24,51,11,55,191,61.6,0
Dolphins,310,3611,11.6,21,37,5,69,190,61.3,9
Broncos,305,3671,12,15,48,8,66T,170,55.7,0
Packers,302,3696,12.2,20,46,9,76,183,60.6,0
Browns,301,3407,11.3,13,43,3,50,167,55.5,0
Redskins,301,3611,12,22,37,9,53,193,64.1,0
Falcons,293,3726,12.7,21,45,12,75T,168,57.3,0
Eagles,281,3582,12.8,34,41,8,95,170,60.5,0
Patriots,274,3208,11.7,14,34,5,56,156,56.9,0
Colts,269,3297,12.3,22,46,14,75,142,52.8,0
Vikings,265,3445,13,25,37,8,78,164,61.9,0
Seahawks,265,3194,12,15,41,8,63,154,58.1,0
Bills,263,3404,12.9,28,43,13,71,161,61.2,5
Chiefs,260,3458,13.3,23,40,14,90,153,58.8,0
Cowboys,254,2898,11.4,12,34,7,61,135,53.2,0
Jets,246,3059,12.4,14,39,8,69,143,58.1,0
Chargers,246,2840,11.5,18,43,2,45,142,57.7,0
Buccaneers,245,3282,13.4,18,40,8,89,142,58,0
Lions,242,3328,13.8,24,48,12,68,152,62.8,0
Cardinals,238,3118,13.1,16,49,8,68,135,56.7,0
Bengals,237,3152,13.3,25,55,7,53,151,63.7,0
Steelers,237,2887,12.2,20,34,6,90T,150,63.3,0
Giants,231,2898,12.6,18,32,7,80,135,58.4,0
Bears,229,2827,12.3,14,33,7,80,134,58.5,0
Saints,226,2757,12.2,15,31,8,68,133,58.8,0
Raiders,183,2885,15.8,19,45,11,68,133,72.7,0
