Team,Rsh TD,Rec TD,Tot TD,2-PT
Bills,19,23,44,2
Panthers,19,35,59,0
Chiefs,19,20,43,2
Bengals,18,31,50,1
Vikings,18,14,37,1
Rams,16,11,29,1
Saints,16,32,50,1
Cardinals,16,35,56,0
Steelers,16,26,45,8
Eagles,15,23,44,0
Patriots,14,36,50,0
Falcons,13,21,36,1
Bears,13,21,34,2
Broncos,13,19,37,0
Buccaneers,12,22,35,1
Dolphins,11,24,39,2
Jets,11,33,44,0
Titans,10,25,36,3
Seahawks,10,34,46,1
Redskins,9,30,43,2
Ravens,8,21,32,1
Cowboys,8,16,26,1
Packers,8,31,42,4
Lions,7,33,41,0
Texans,7,29,38,2
Raiders,7,34,42,1
Niners,7,16,24,1
Colts,6,26,36,1
Browns,5,20,28,2
Jaguars,5,35,42,1
Giants,5,36,45,1
Chargers,4,30,35,2
