Team,Rsh TD,Rec TD,Tot TD,2-PT
Bengals,24,25,50,0
Redskins,23,22,45,0
Bears,21,12,37,0
Cowboys,21,21,43,0
Browns,20,18,44,0
Chargers,19,21,41,0
Giants,18,22,42,0
Steelers,18,16,35,0
Broncos,17,22,43,0
Rams,16,15,36,0
Jets,16,27,45,0
49ers,16,21,43,0
Saints,15,13,30,0
Seahawks,15,24,43,0
Vikings,14,31,48,0
Lions,13,18,32,0
Oilers,13,14,28,0
Falcons,12,14,28,0
Buccaneers,12,13,25,0
Colts,10,16,27,0
Chiefs,10,23,42,0
Patriots,10,29,43,0
Bills,9,22,33,0
Dolphins,9,46,56,0
Packers,8,18,29,0
Eagles,8,19,28,0
Cardinals,8,17,27,0
Raiders,6,27,36,0
