Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,34.3,2541,74,42.2,66,3124,0,7,5,15,7,40,283,0,0
Dolphins,34,2212,65,38.6,60,2511,0,7,6,2,8,42,259,0,0
Chiefs,33.4,2768,83,41.7,64,3462,0,18,5,3,0,55,634,0,2
Chargers,32.9,2501,76,40,65,3042,0,13,6,7,2,48,401,0,0
Eagles,32.6,2734,84,36,59,3026,0,9,20,2,14,37,252,0,2
Broncos,32.5,2435,75,40.3,61,3024,0,21,4,3,1,45,529,0,1
Oilers,32.4,2560,79,39.2,69,3100,0,7,4,2,10,56,500,0,0
Bills,32.2,2223,69,40.6,66,2799,0,7,9,8,0,45,416,0,0
Falcons,32,3073,96,40.5,61,3891,0,11,6,8,11,59,658,1,1
49ers,31.8,2225,70,40.8,67,2856,0,6,8,7,2,46,491,0,1
Lions,31.7,2315,73,38.2,61,2790,0,4,10,10,10,37,275,0,2
Packers,31.5,2172,69,38.4,58,2648,0,5,8,6,2,48,356,0,0
Cowboys,31.3,2286,73,38.5,59,2809,0,16,7,9,10,31,343,1,0
Bengals,31,2044,66,40.9,53,2701,0,6,4,10,5,41,457,0,0
Steelers,30.9,2407,78,39,65,3040,0,9,7,11,4,47,413,0,0
Cardinals,30.5,2473,81,38.6,57,3131,0,8,7,7,3,56,518,1,0
Patriots,30.4,2157,71,36.2,57,2571,0,16,3,5,6,41,314,0,0
Saints,30.3,2757,91,41.8,71,3803,0,22,2,7,1,59,906,2,0
Vikings,30.3,2211,73,36.1,50,2636,0,13,6,4,4,45,345,0,1
Browns,30.2,2718,90,40.5,64,3643,0,5,1,11,5,68,705,1,0
Colts,30.2,2141,71,37.1,58,2634,0,8,6,4,6,46,413,0,1
Redskins,29.8,2205,74,38.2,57,2823,0,8,3,8,4,50,458,1,1
Giants,29.7,2051,69,40.1,64,2769,0,7,5,12,0,43,478,0,2
Bears,29.2,2662,91,37.8,59,3435,0,10,7,7,8,58,633,1,1
Rams,28.5,2136,75,36.4,51,2729,0,19,3,7,5,40,453,1,1
Jets,28.2,2117,75,35.8,59,2689,0,21,6,11,10,27,352,0,0
