Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Giants,25.1,66,1658,2,44,3,92,0,3
Bills,24.5,63,1542,3,35,5,104T,0,2
Chiefs,24.3,75,1820,2,42,6,97,0,1
Buccaneers,24.2,60,1450,0,39,7,59,0,0
Chargers,23.8,62,1478,1,45,2,87T,0,0
Lions,23.8,66,1568,2,37,6,99T,0,0
Dolphins,23.7,70,1660,1,48,3,95T,0,2
Colts,23.4,66,1545,1,42,2,88,1,1
Patriots,23.2,56,1302,1,34,3,93,1,1
Saints,22.6,83,1879,2,42,5,98,0,1
Jets,22.6,46,1038,1,27,3,94T,0,3
Redskins,21.9,55,1203,0,28,3,70,0,0
Falcons,21.8,61,1331,0,38,2,49,0,0
Packers,21.7,70,1522,0,35,4,71,0,3
Bears,21.7,74,1607,0,40,4,73,0,2
Eagles,21.7,56,1214,0,30,4,66,0,1
Steelers,21.5,62,1335,0,34,2,48,0,4
Panthers,21.4,61,1307,0,29,4,49,1,2
Broncos,21.2,53,1122,0,30,1,48,0,1
Texans,21,69,1450,0,36,2,49,0,0
Ravens,20.7,61,1264,0,30,4,64,0,1
Seahawks,20.7,74,1529,0,42,0,36,0,0
Bengals,20.6,68,1403,0,39,1,40,0,2
Cowboys,20.6,78,1603,0,39,3,62,0,0
Raiders,20.5,83,1700,0,41,4,64,0,3
49ers,20.4,84,1716,0,45,1,40,0,1
Browns,20,75,1504,1,35,3,93T,0,4
Cardinals,19.9,65,1293,0,28,2,71,0,4
Vikings,19.8,73,1448,0,39,2,55T,0,1
Titans,19.7,79,1558,0,46,1,45,0,2
Rams,19.1,84,1604,0,48,0,31,0,1
Jaguars,19.1,57,1087,0,24,1,45,0,0
