Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Patriots,31,93.9,48,100,1,0
Ravens,29,90.6,30,100,0,2
Broncos,29,85.3,42,100,0,0
Steelers,28,84.8,40,100,0,0
Bengals,27,87.1,41,100,0,0
Eagles,27,84.4,41,97.6,0,0
Raiders,25,89.3,31,96.9,0,0
Bills,24,85.7,45,100,3,2
Browns,24,82.8,28,100,1,0
Lions,24,85.7,28,100,2,2
Packers,24,85.7,48,100,0,0
Jaguars,24,77.4,21,100,0,0
Jets,24,82.8,33,97.1,1,0
Seahawks,23,92,40,100,0,0
Saints,22,81.5,38,100,2,0
Giants,22,78.6,33,100,2,0
Cardinals,22,75.9,28,100,0,0
Panthers,20,80,39,97.5,0,0
Cowboys,20,76.9,31,100,0,0
Colts,20,76.9,64,98.5,1,0
Chargers,20,80,54,98.2,1,0
Titans,19,70.4,39,100,0,0
Rams,19,79.2,32,100,0,0
Dolphins,19,82.6,26,96.3,1,0
Redskins,19,70.4,25,100,0,0
Falcons,18,78.3,40,100,0,1
Vikings,18,81.8,45,100,0,1
49ers,18,81.8,23,100,0,1
Texans,17,70.8,34,100,0,0
Chiefs,17,73.9,58,96.7,2,0
Bears,15,62.5,22,100,0,1
Buccaneers,15,62.5,32,97,0,1
