Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Falcons,12.4,37,457,1,7,2,75,17,2
Browns,12,36,432,0,6,1,44,12,2
Bears,11.1,46,510,1,8,2,75T,15,4
Dolphins,10.8,52,564,0,8,1,71,14,6
Bills,10.7,46,491,2,8,4,86,10,4
Lions,10.5,40,420,2,7,2,83T,17,1
Ravens,10.3,60,616,2,7,3,78T,12,4
Saints,9.7,40,388,0,6,2,53,12,0
Chiefs,9.7,24,232,0,4,1,46T,17,0
Jaguars,9.6,42,405,0,3,1,50,10,3
Bengals,9.4,35,328,0,4,2,49,18,2
Broncos,9.3,43,400,0,6,0,39,17,4
Eagles,9.2,41,377,0,4,1,40,20,2
Vikings,8.9,31,275,1,3,1,91,14,1
Cowboys,8.9,44,390,0,2,1,55,16,3
49ers,8.7,35,303,1,2,1,71T,21,3
Chargers,8.4,29,243,0,2,0,32T,15,5
Steelers,8.3,44,365,0,6,2,60,13,2
Texans,8.2,40,329,0,3,0,27,13,3
Redskins,7.9,42,331,0,2,1,43T,23,1
Packers,7.7,33,254,0,2,0,28,27,1
Seahawks,7.7,30,230,0,2,1,48,26,0
Jets,7.6,41,313,0,4,1,46,13,3
Colts,7.1,24,171,0,1,0,34,15,0
Cardinals,6.7,49,329,0,2,0,38T,14,3
Giants,6.7,38,253,0,3,0,29,11,1
Buccaneers,6.4,33,213,1,1,1,59T,22,6
Panthers,5.9,28,165,0,0,0,18T,14,2
Patriots,5.8,40,230,0,2,0,23,15,6
Raiders,5.5,24,132,0,0,0,18,9,2
Rams,4.8,30,143,0,2,0,39,18,3
Titans,4.3,40,173,0,0,0,18,16,5
