Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Saints,472,5505,11.7,46,69,11,79,280,59.3,3
Lions,423,5071,12,41,65,16,73,244,57.7,4
Patriots,402,5257,13.1,39,72,14,99,262,65.2,1
Cowboys,376,4453,11.8,33,58,11,77,219,58.2,5
Packers,376,5161,13.7,51,70,16,93,230,61.2,1
Chargers,366,4624,12.6,27,69,8,58,234,63.9,4
Falcons,365,4365,12,29,56,10,80,215,58.9,2
Buccaneers,365,3838,10.5,17,37,6,65,180,49.3,7
Giants,359,4933,13.7,29,67,18,99,216,60.2,2
Bills,356,3857,10.8,24,48,8,60,180,50.6,1
Titans,353,4113,11.6,22,51,14,80,185,52.4,5
Redskins,346,4058,11.7,19,57,7,51,204,59,4
Steelers,341,4333,12.7,21,60,10,95,221,64.8,4
Eagles,330,4276,13,22,64,10,73,197,59.7,3
Browns,320,3300,10.3,16,32,6,76,173,54.1,2
Raiders,315,4119,13.1,20,63,14,78,186,59,4
Ravens,314,3629,11.6,21,44,7,74,181,57.6,1
Panthers,312,4089,13.1,21,66,9,91,175,56.1,6
Jets,310,3542,11.4,26,41,3,74T,173,55.8,3
Bengals,308,3507,11.4,21,51,11,84,160,52,2
Cardinals,307,3954,12.9,21,55,15,73,175,57,4
Colts,302,3223,10.7,14,32,6,87,170,56.3,3
Chiefs,299,3288,11,13,39,7,52,163,54.5,3
Seahawks,299,3444,11.5,15,51,9,61,153,51.2,1
Rams,292,3258,11.2,9,37,3,68,159,54.4,5
Texans,288,3696,12.8,20,55,11,80,176,61.1,1
Vikings,286,3255,11.4,20,40,7,72T,159,55.6,5
Dolphins,280,3425,12.2,20,56,7,65,166,59.3,3
Niners,277,3193,11.5,18,41,6,56,150,54.2,3
Bears,268,3346,12.5,18,43,7,81,153,57.1,7
Jaguars,240,2510,10.5,12,29,4,74,122,50.8,3
Broncos,217,2708,12.5,20,36,8,56,130,59.9,6
