Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Otis Armstrong,1407,263,9,0,0,43,0,0,0
Don Woods,1162,227,7,0,0,56,0,0,0
O.J. Simpson,1125,270,3,0,0,41,0,0,0
Lawrence McCutcheon,1109,236,3,0,0,23,0,0,0
Franco Harris,1006,208,5,0,0,54,0,0,0
John Brockington,883,266,5,0,0,33,0,0,0
Marv Hubbard,865,188,4,0,0,32,0,0,0
Calvin Hill,844,185,7,0,0,27,0,0,0
Mack Herron,824,231,7,0,0,28,0,0,0
Sam Cunningham,811,166,9,0,0,75,0,0,0
Chuck Foreman,777,199,9,0,0,32,0,0,0
Tom Sullivan,760,244,11,0,0,28,0,0,0
Lydell Mitchell,757,214,5,0,0,31,0,0,0
Larry Csonka,749,197,9,0,0,24,0,0,0
Terry Metcalf,718,152,6,0,0,75,0,0,0
Alvin Maxson,714,165,2,0,0,66,0,0,0
Wilbur Jackson,705,174,0,0,0,64,0,0,0
John Riggins,680,169,5,0,0,34,0,0,0
Jim Otis,664,158,1,0,0,23,0,0,0
Larry Schreiber,634,174,3,0,0,21,0,0,0
Emerson Boozer,563,153,4,0,0,20,0,0,0
Joe Dawkins,561,156,2,0,0,16,0,0,0
Jess Phillips,556,174,2,0,0,14,0,0,0
Clarence Davis,554,129,2,0,0,41,0,0,0
Jim Braxton,543,146,4,0,0,21,0,0,0
Greg Pruitt,540,126,3,0,0,54,0,0,0
Altie Taylor,532,150,5,0,0,27,0,0,0
Hugh McKinnis,519,124,2,0,0,44,0,0,0
Dave Osborn,514,131,4,0,0,17,0,0,0
Woody Green,509,135,3,0,0,43,0,0,0
Robert Newhouse,501,124,3,0,0,23,0,0,0
Benny Malone,479,117,3,0,0,23,0,0,0
Ken Grandberry,475,144,2,0,0,31,0,0,0
Bill Olds,475,129,1,0,0,34,0,0,0
Dave Hampton,464,127,2,0,0,34,0,0,0
Ken Brown,458,125,4,0,0,27,0,0,0
Larry Brown,430,163,3,0,0,16,0,0,0
Walt Garrison,429,113,5,0,0,18,0,0,0
Jim Bertelsen,419,127,2,0,0,20,0,0,0
Willie Rodgers,413,122,5,0,0,20,0,0,0
Art Malone,410,116,2,0,0,13,0,0,0
Doug Kotar,396,106,4,0,0,53,0,0,0
Moses Denson,391,103,0,0,0,23,0,0,0
Ed Podolak,386,101,2,0,0,14,0,0,0
Charlie Davis,375,72,0,0,0,29,0,0,0
Jon Keyworth,374,81,10,0,0,30,0,0,0
Steve Owens,374,97,3,0,0,27,0,0,0
Rocky Bleier,373,88,2,0,0,18,0,0,0
MacArthur Lane,362,137,3,0,0,20,0,0,0
Duane Thomas,347,95,5,0,0,66,0,0,0
