Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Tommy Casanova,48,1,48,0,0,0,48,0,0
Joe Dawkins,38.5,4,154,0,0,0,53,0,0
Clarence Davis,35.7,3,107,0,0,0,49,0,0
Dick Conn,34,1,34,0,0,0,34,0,0
Terry Metcalf,31.2,20,623,1,0,0,94,0,0
Mel Blount,30.4,5,152,0,0,0,60,0,0
Ronnie Coleman,30.3,3,91,0,0,0,39,0,0
Chuck Foreman,30,1,30,0,0,0,24,0,0
Larry Jones,29.2,23,672,1,0,0,102,0,0
John Gilliam,28.7,3,86,0,0,0,31,0,0
Herb Mul-key,28.5,10,285,0,0,0,59,0,0
Larry Smith,28.5,2,57,0,0,0,29,0,0
Eddie Hinton,27.7,3,83,0,0,0,53,0,0
Leon McQuay,27.6,25,689,0,0,0,72,0,0
Greg Pruitt,27.6,22,606,1,0,0,88,0,0
Ron Jessie,27.5,2,55,0,0,0,31,0,0
Rick Byas,27.2,5,136,0,0,0,35,0,0
Billy Johnson,27.1,29,785,0,0,0,67,0,0
Ernie Jackson,27,1,27,0,0,0,27,0,0
Ray Rhodes,27,1,27,0,0,0,27,0,0
Cullen Bryant,26.8,23,617,1,0,0,84,0,0
Nat Moore,26.7,22,587,0,0,0,40,0,0
Benny Malone,26.5,6,159,0,0,0,73,0,0
Bruce Laird,26.3,19,499,0,0,0,55,0,0
Bill Cahill,26,1,26,0,0,0,26,0,0
Harold Hart,25.9,18,466,0,0,0,67,0,0
Ken Grandberry,25.8,22,568,0,0,0,69,0,0
Wally Francis,25.6,37,947,0,0,0,74,0,0
Dick Gordon,25.3,14,354,0,0,0,39,0,0
Vic Washington,25.3,7,177,0,0,0,40,0,0
Jazz Jackson,25,4,100,0,0,0,30,0,0
Sam McCullum,25,12,300,0,0,0,36,0,0
Bill Thompson,25,13,325,0,0,0,37,0,0
Lou Piccone,24.6,39,961,0,0,0,46,0,0
Moses Denson,24.5,2,49,0,0,0,27,0,0
