Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Chester Marcol,25,39,64.1,3/3,7/7,8/12,6/12,0/0,0/0,52,3
Errol Mann,23,32,71.9,0/0,6/8,13/15,4/8,0/0,0/0,42,2
Roy Gerela,20,29,69,0/0,8/9,8/12,4/7,0/0,0/0,45,1
John Leypoldt,19,33,57.6,0/0,8/10,6/9,5/12,0/0,0/0,47,4
Mark Moseley,18,30,60,1/1,2/5,9/13,6/10,0/0,0/0,48,2
Jan Stenerud,17,24,70.8,1/1,7/7,5/8,3/4,0/0,0/0,50,2
John Smith,16,22,72.7,0/0,6/7,8/10,2/5,0/0,0/0,46,1
Don Cockroft,14,16,87.5,1/1,7/7,3/3,3/4,0/0,0/0,46,0
Jim Bakken,13,22,59.1,0/0,2/3,5/9,6/10,0/0,0/0,47,2
Fred Cox,12,20,60,0/0,7/7,3/7,2/6,0/0,0/0,46,0
Toni Linhart,12,20,60,0/0,8/8,2/5,2/6,0/0,0/0,45,1
George Blanda,11,17,64.7,1/1,3/3,5/8,2/3,0/0,0/0,49,1
Bruce Gossett,11,24,45.8,2/2,5/7,2/3,2/12,0/0,0/0,46,3
Horst Muhlmann,11,18,61.1,1/1,2/2,5/9,3/6,0/0,0/0,47,3
Jim Turner,11,21,52.4,0/1,3/4,6/7,2/8,0/0,0/0,43,0
Tom Dempsey,10,16,62.5,1/1,1/2,4/6,4/6,0/0,0/0,48,0
Pete Gogolak,10,19,52.6,0/0,2/3,6/8,2/8,0/0,0/0,42,0
Skip Butler,9,19,47.4,0/0,4/7,2/4,3/7,0/0,0/0,46,1
Bill McClard,9,16,56.2,0/0,4/6,2/4,1/4,0/0,0/0,52,1
Nick Mike-Mayer,9,16,56.2,0/0,2/4,5/5,2/6,0/0,0/0,47,2
David Ray,9,16,56.2,1/1,5/6,2/5,1/4,0/0,0/0,46,1
Mirro Roder,9,13,69.2,0/0,4/5,3/5,2/3,0/0,0/0,44,0
Efren Herrera,8,13,61.5,1/1,5/5,2/4,0/2,0/0,0/0,39,1
Garo Yepremian,8,15,53.3,0/1,4/5,2/3,2/4,0/0,0/0,43,1
Bobby Howfield,6,7,85.7,0/1,1/1,3/3,2/2,0/0,0/0,43,1
Pat Leahy,6,11,54.6,0/0,3/5,2/4,1/2,0/0,0/0,45,2
Ray Wersching,5,11,45.4,0/0,1/1,1/3,3/4,0/0,0/0,42,2
Mac Percival,2,8,25,0/0,1/1,1/4,0/3,0/0,0/0,33,1
Mike Bragg,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,25,0
Dennis Partee,1,5,20,0/0,1/2,0/2,0/1,0/0,0/0,22,1
Mike Burke,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Greg Gantt,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Deacon Jones,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
