Player,FF,FR,FR TD
Ron Carpenter,0,1,0
Tim Foley,0,2,0
L.C. Greenwood,0,3,0
Ted Hendricks,0,1,0
Wally Hilgenberg,0,0,0
Mike Kadish,0,0,0
Willie Lanier,0,2,0
Jim Mitchell,0,1,0
Otis Sistrunk,0,3,0
