Player,INT,INT TD,INT Yds,Lng
Emmitt Thomas,12,2,214,73
Tony Greene,9,0,157,38
Ray Brown,8,1,164,59
Thom Darden,8,0,105,31
Jake Scott,8,0,75,30
Ron Bolton,7,0,18,10
Dave Elmendorf,7,2,186,57
Charlie Stukes,7,0,90,41
Bob Atkins,6,0,85,36
Skip Thomas,6,1,70,34
Norm Thompson,6,1,190,56
Nate Wright,6,0,91,44
Bill Bergey,5,0,57,27
Glen Edwards,5,1,153,59
Jack Ham,5,0,13,10
Ted Hendricks,5,0,74,44
Levi Johnson,5,2,139,55
Calvin Jones,5,0,19,11
Ralph McGill,5,0,71,45
Ken Riley,5,0,33,19
Deac Sanders,5,1,57,23
Ken Stone,5,0,95,31
J.T. Thomas,5,0,22,14
Bill Thompson,5,1,105,38
George Atkinson,4,0,39,26
Lem Barney,4,0,61,39
Gregg Bingham,4,0,36,18
Willie Buchanon,4,0,10,8
Craig Clemons,4,0,84,37
Chris Fletcher,4,0,74,31
Chris Hanburger,4,0,6,5
Ernie Jackson,4,0,53,28
Frank Nunley,4,0,30,20
Brig Owens,4,0,59,24
Kerry Reardon,4,0,0,0
John Rowser,4,0,56,33
Terry Schmidt,4,1,27,24
Clarence Scott,4,0,42,25
Mike Sensibaugh,4,0,85,33
Jack Tatum,4,0,84,40
Jeff Wright,4,0,60,27
Mike Bass,3,1,33,28
Dan Conners,3,0,19,18
Chuck Crist,3,0,20,20
Mike Curtis,3,0,24,11
John Ebersole,3,0,48,41
Allan Ellis,3,0,32,19
Clarence Ellis,3,0,11,6
Ken Ellis,3,1,56,38
Pat Fischer,3,0,52,30
Charlie Hall,3,1,54,29
Cliff Harris,3,0,8,8
Mike Holmes,3,0,26,14
Bob Howard,3,0,52,23
Sam Hunt,3,0,66,27
Robert James,3,0,13,8
Jimmy Johnson,3,0,50,37
Garry Lyle,3,0,57,36
Amos Martin,3,0,39,28
Al Matthews,3,0,41,32
Prentice McCray,3,0,61,33
Jack Mildren,3,0,51,41
