Team,Rsh TD,Rec TD,Tot TD,2-PT
Redskins,30,29,61,0
Bengals,24,14,42,0
Cowboys,21,31,57,0
Rams,20,23,47,0
Patriots,19,16,36,0
Saints,19,14,38,0
Seahawks,19,25,48,0
Lions,18,19,38,0
Raiders,18,31,53,0
Falcons,17,24,44,0
Vikings,17,15,33,0
Steelers,17,15,36,0
49ers,17,27,50,0
Oilers,16,16,34,0
Dolphins,16,28,48,0
Chargers,16,27,45,0
Broncos,15,17,33,0
Packers,15,33,50,0
Cardinals,15,29,44,0
Bears,14,21,38,0
Browns,13,27,42,0
Chiefs,13,29,44,0
Jets,11,21,37,0
Colts,10,12,23,0
Giants,9,12,22,0
Buccaneers,9,18,30,0
Eagles,5,22,27,0
Bills,4,30,35,0
