Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Broncos,45,1,45,0,1,1,45,3,0
Saints,24.5,4,98,1,1,1,76T,6,0
Eagles,18.8,6,113,0,2,1,52,3,1
Bengals,18.8,8,150,1,1,1,81T,2,0
Jets,16,7,112,1,1,1,65T,5,0
Jaguars,15.8,4,63,0,1,1,48,3,0
Seahawks,14.8,4,59,0,0,0,18,2,0
Colts,13.6,5,68,0,1,0,32,6,0
Chargers,13.2,5,66,0,1,0,20,0,0
Dolphins,11.4,5,57,0,0,0,18,6,0
Texans,11,4,44,0,0,0,14,5,0
49ers,10.9,7,76,0,0,0,19,5,0
Bills,10.3,3,31,0,1,0,23,5,0
Packers,9.7,6,58,0,1,0,35,1,0
Ravens,9.4,5,47,0,1,0,31,4,0
Lions,9.2,5,46,0,0,0,17,6,0
Raiders,8.8,5,44,0,0,0,16,0,1
Titans,8.7,7,61,0,0,0,14,4,0
Bears,8,2,16,0,0,0,8,2,0
Patriots,8,9,72,0,1,0,21,4,1
Giants,8,3,24,0,0,0,14,2,0
Rams,7,3,21,0,0,0,11,5,0
Chiefs,6.3,9,57,0,1,0,23,3,1
Vikings,6.2,6,37,0,1,0,20,3,1
Cardinals,6.1,7,43,0,0,0,19,3,0
Buccaneers,6,6,36,0,0,0,16,1,1
Cowboys,5.7,3,17,0,0,0,10,5,0
Steelers,5.2,4,21,0,0,0,14,3,0
Browns,5.2,5,26,0,0,0,13,5,1
Falcons,5,7,35,0,0,0,16,4,0
Commanders,3.8,5,19,0,0,0,6,2,0
Panthers,3.7,7,26,0,0,0,13,2,0
