Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,48.3,435,9,51.1,60,460,3,1,1,1,4,2,5,0,0
Chiefs,47.4,474,10,49.5,58,495,5,1,3,0,3,3,21,0,0
Seahawks,46.7,420,9,53.4,73,481,2,1,1,2,0,5,21,0,0
Falcons,46.4,650,14,48.4,60,677,4,3,1,0,5,5,27,0,0
Panthers,46,690,15,50.1,69,751,6,1,3,0,5,6,61,0,0
Giants,45.7,548,12,48.9,62,587,2,0,1,0,5,6,39,0,0
Buccaneers,44.9,629,14,54.9,74,768,7,1,2,2,2,7,99,0,0
Vikings,44.4,488,11,50.8,58,559,3,2,1,2,1,5,31,0,0
Cowboys,43.8,350,8,50.4,56,403,2,0,1,1,2,4,33,0,0
Jets,43.6,742,17,48.5,58,825,4,2,0,2,8,5,43,0,0
Lions,43.5,522,12,45.8,62,549,6,0,2,0,4,6,27,0,0
Titans,43.1,647,15,52.5,74,787,5,4,0,3,0,8,80,0,0
Cardinals,43.1,431,10,47.5,56,475,2,1,0,1,3,5,24,0,0
Dolphins,43,215,5,46,55,230,0,0,0,0,2,3,15,0,0
Jaguars,42.7,512,12,46.7,57,560,7,2,1,1,3,5,28,0,0
Rams,42.6,383,9,51,72,459,2,1,0,0,2,6,76,0,0
Browns,42.5,637,15,47.2,66,708,6,5,0,1,4,5,51,0,0
49ers,42.3,423,10,45.9,67,459,7,2,1,1,3,3,16,0,0
Broncos,40.9,409,10,44.8,61,448,4,1,1,0,3,5,39,0,0
Commanders,40.7,488,12,48.7,66,584,5,0,2,0,3,7,96,0,0
Steelers,40.6,772,19,47.2,63,897,8,3,4,2,2,8,85,0,0
Bears,39.9,559,14,48.1,58,673,3,2,2,1,1,8,94,0,0
Texans,39.6,436,11,43.3,54,476,1,2,1,2,5,1,0,0,0
Saints,39.3,668,17,43.8,52,744,5,4,2,1,1,9,56,0,0
Bengals,38.9,700,18,41.1,54,740,4,3,0,1,9,5,20,0,0
Eagles,38.3,345,9,42.8,54,385,3,0,1,0,3,5,40,0,0
Chargers,38.3,460,12,40.9,62,491,5,0,2,1,7,2,11,0,0
Ravens,37.3,522,14,49.6,67,695,5,0,2,1,6,5,153,1,0
Colts,37.1,630,17,44.3,54,753,5,3,3,0,3,8,123,0,0
Patriots,36.7,624,17,43.5,65,740,10,2,1,1,5,8,96,0,0
Bills,35.8,179,5,53,70,265,2,1,0,1,1,2,66,1,0
Packers,33,429,13,46.2,68,601,3,0,0,3,5,5,112,1,0
