Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Broncos,44,4,176,1,4,1,99T,0,0
Bills,41,1,41,0,1,1,41,0,0
Panthers,37,1,37,0,1,0,37,0,0
Texans,34,4,136,1,2,1,85T,0,0
Packers,26.8,5,134,0,5,0,30,0,0
Browns,26,1,26,0,1,0,26,0,0
Jets,25.2,4,101,0,3,0,30,0,0
Seahawks,24.6,7,172,0,6,0,34,0,0
Patriots,24.3,3,73,0,1,1,43,1,0
Chargers,24,1,24,0,1,0,24,0,0
Cardinals,23.5,2,47,0,1,0,28,0,0
Jaguars,23,4,92,0,3,0,33,0,0
Raiders,23,1,23,0,1,0,23,0,0
Buccaneers,23,1,23,0,1,0,23,0,0
Steelers,22.8,4,91,0,3,0,34,0,0
Bengals,22.5,2,45,0,1,0,27,0,0
Commanders,22,3,66,0,2,0,28,0,0
Bears,21,4,84,0,2,0,33,0,0
Titans,21,1,21,0,1,0,21,1,0
Saints,21,9,189,0,5,0,27,0,1
Eagles,19.3,3,58,0,1,0,30,0,0
Ravens,19,2,38,0,1,0,20,1,0
Colts,19,1,19,0,0,0,19,2,0
Giants,16,1,16,0,0,0,16,0,0
Falcons,15.3,3,46,0,0,0,19,0,0
Vikings,15,1,15,0,0,0,15,0,0
Rams,14.7,3,44,0,1,0,20,2,0
Chiefs,14,1,14,0,0,0,14,0,0
Cowboys,0,1,0,0,0,0,0,0,0
