Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Cowboys,10,100,6,85.7,0,0
Rams,9,81.8,6,100,0,0
Eagles,9,90,7,87.5,0,0
49ers,9,100,9,100,0,0
Titans,8,100,3,100,0,0
Texans,8,88.9,6,100,1,0
Cardinals,8,88.9,4,100,0,0
Seahawks,8,72.7,7,100,0,0
Falcons,7,87.5,4,80,0,0
Bills,7,100,10,100,0,0
Browns,7,87.5,4,100,0,0
Panthers,6,85.7,4,100,0,0
Bengals,6,75,4,100,0,1
Colts,6,100,8,100,0,0
Saints,6,85.7,5,100,0,1
Broncos,5,83.3,6,85.7,1,0
Jaguars,5,71.4,6,100,0,0
Chiefs,5,100,9,100,0,0
Jets,5,100,3,100,0,1
Steelers,5,100,5,100,0,0
Chargers,5,83.3,9,100,0,0
Buccaneers,5,83.3,5,100,0,0
Commanders,5,71.4,5,100,0,0
Ravens,4,66.7,7,100,0,0
Bears,4,100,3,100,0,0
Dolphins,4,66.7,16,94.1,0,0
Lions,3,100,9,100,0,0
Packers,3,100,9,100,0,0
Raiders,3,100,4,100,0,0
Patriots,3,60,5,100,0,0
Giants,3,60,4,100,0,0
Vikings,2,100,9,100,0,0
