Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Ryan Stonehouse,53.1,44,3963,90,74,4779,30,1,10,9,11,59,636,0,0
Tommy Townsend,50.4,45.6,2416,53,76,2672,22,3,8,4,16,22,176,0,0
Logan Cooke,49.3,43.8,2539,58,70,2862,24,4,9,6,10,29,203,0,0
AJ Cole,48.9,43.9,2590,59,67,2884,26,8,9,1,16,25,274,0,0
Jake Camarda,48.8,41.6,3285,79,74,3859,22,9,7,10,21,32,374,0,0
Jack Fox,48.6,41.4,2152,52,66,2525,14,3,7,3,9,30,313,0,0
Corey Bojorquez,48.5,41,2500,61,76,2959,23,8,11,7,9,26,319,0,0
Michael Dickson,48.5,44.4,2932,66,68,3199,22,8,8,3,12,35,207,0,0
Johnny Hekker,48.5,44.1,3574,81,68,3925,39,7,10,6,31,27,231,0,0
Bryan Anger,48.4,42.8,2913,68,83,3291,27,1,6,6,23,32,258,0,0
Riley Dixon,48.4,42,2982,73,67,3434,19,11,6,4,14,36,372,0,2
Cameron Johnston,48.1,42.6,3748,88,67,4229,37,6,11,4,22,45,401,1,0
Drue Chrisman,47.8,42.6,1192,28,65,1338,13,4,1,2,7,14,106,0,0
Sam Martin,47.7,42.2,1901,46,67,2146,16,6,5,5,13,16,145,0,1
Ryan Wright,47.4,43.1,3144,74,73,3457,32,7,5,1,22,38,293,0,1
Andy Lee,47.1,40.9,2740,68,65,3157,18,4,6,4,16,37,337,0,1
Braden Mann,46.9,40.6,3366,83,72,3889,27,15,12,8,16,32,363,2,0
Tress Way,46.8,43,3566,83,68,3885,37,5,13,5,26,34,219,0,0
Jamie Gillan,46.8,40.6,3006,75,69,3463,26,7,6,9,24,28,277,0,1
Corliss Waitman,46.6,41.5,3988,96,59,4470,30,3,14,6,29,44,362,0,0
Blake Gillikin,46.4,41.6,3199,77,68,3571,32,6,13,7,25,26,232,0,0
Thomas Morstead,46.4,40.6,2476,61,66,2828,28,3,11,2,15,30,312,0,0
Trenton Gill,46,40.9,2697,67,63,3038,20,4,8,3,20,31,281,0,1
Jordan Stout,45.9,40.9,2329,57,69,2618,26,3,5,7,20,22,149,0,0
Bradley Pinion,45.9,41.2,2555,62,73,2845,23,6,7,2,22,25,250,0,0
Arryn Siposs,45.6,40.6,1784,45,59,2005,16,3,7,3,11,20,161,0,1
Matt Haack,44.8,41.2,2881,71,70,3133,28,9,10,3,22,26,192,0,1
Pressley Harvin III,44.5,41.1,2835,69,69,3072,20,7,11,5,22,24,137,0,0
Pat O'Donnell,44.5,40.4,2103,54,72,2313,24,4,9,1,18,20,190,0,2
Mitch Wishnowsky,43.9,39.7,2423,61,74,2676,32,6,16,5,17,17,153,0,0
J.K. Scott,43.6,41.5,3028,73,60,3186,28,6,10,5,33,19,58,0,0
Kevin Huber,43.2,37.4,1160,31,63,1340,9,3,3,1,13,11,160,0,0
Michael Palardy,42.4,37.3,1566,43,58,1781,10,5,3,5,11,18,115,0,1
Jake Bailey,42.1,35.3,1305,37,62,1557,12,5,3,5,8,16,152,0,0
Brett Kern,40.8,36.6,366,10,53,408,1,1,1,0,3,5,42,0,0
Jake Elliott,35,35,35,1,35,35,0,0,1,0,0,0,0,0,0
