Player,INT,INT TD,INT Yds,Lng
Minkah Fitzpatrick,6,1,94,34
C.J. Gardner-Johnson,6,0,54,25
Justin Simmons,6,0,51,23
Tariq Woolen,6,1,47,40
Jaire Alexander,5,0,59,29
DaRon Bland,5,0,19,15
Tashaun Gipson,5,0,141,56
Patrick Peterson,5,0,92,39
Jalen Pitre,5,0,57,29
Harrison Smith,5,0,58,35
Jessie Bates,4,0,28,16
Vonn Bell,4,0,56,46
Kevin Byard,4,0,57,28
Grant Delpit,4,0,36,40
Quandre Diggs,4,0,70,27
Rasul Douglas,4,0,26,22
Darrick Forrest,4,0,1,1
Talanoa Hufanga,4,1,61,52
Eddie Jackson,4,0,44,26
Jonathan Jones,4,1,89,55
Kerby Joseph,4,0,70,38
Devin McCourty,4,0,66,36
Jordan Poyer,4,0,6,6
Jalen Ramsey,4,0,53,28
Rodney Thomas,4,0,51,35
Levi Wallace,4,0,6,3
Marcus Williams,4,0,33,33
James Bradberry,3,1,54,27
Bryce Callahan,3,1,37,26
Tyson Campbell,3,0,32,29
Andre Cisco,3,1,72,59
Trevon Diggs,3,0,10,7
Kyle Dugger,3,2,55,39
Cobie Durant,3,1,151,85
Rudy Ford,3,0,87,34
Kendall Fuller,3,2,66,37
Kyler Gordon,3,0,78,42
Malik Hooker,3,0,29,26
Jaycee Horn,3,0,49,31
Marlon Humphrey,3,0,26,26
Aidan Hutchinson,3,0,25,20
Rayshawn Jenkins,3,1,64,52
Lamarcus Joyner,3,0,31,27
Devin Lloyd,3,0,42,19
Tyrann Mathieu,3,0,44,41
Matt Milano,3,1,84,43
Darius Slay,3,0,17,19
Roquan Smith,3,0,41,19
L'Jarius Sneed,3,0,57,26
Cameron Sutton,3,0,26,26
Juan Thornhill,3,0,0,0
Denzel Ward,3,0,0,0
Jimmie Ward,3,0,0,0
Marco Wilson,3,1,77,39
Nasir Adderley,2,0,30,30
Budda Baker,2,0,54,53
Cody Barton,2,0,11,10
Dane Belton,2,0,0,0
Nick Bolton,2,0,15,15
Sean Murphy-Bunting,2,0,33,33
Camryn Bynum,2,0,17,12
De'Vondre Campbell,2,1,77,63
Michael Carter II,2,0,0,0
Jamel Dean,2,0,24,24
Mike Edwards,2,1,68,68
Kaiir Elam,2,0,0,0
Sauce Gardner,2,0,19,16
Stephon Gilmore,2,0,31,31
Richie Grant,2,0,22,12
Duron Harmon,2,1,86,73
Jaylinn Hawkins,2,0,14,14
C.J. Henderson,2,0,74,54
Jevon Holland,2,0,64,33
Dane Jackson,2,0,13,11
Donte Jackson,2,1,30,30
Derwin James,2,0,0,0
Josey Jewell,2,0,21,21
Jack Jones,2,1,40,40
Marcus Jones,2,1,87,69
Damontae Kazee,2,0,14,12
Desmond King,2,0,30,29
Christian Kirksey,2,0,18,18
David Long,2,0,4,4
Julian Love,2,0,44,27
Rodney McLeod Jr.,2,1,27,27
Jalen Mills,2,0,28,15
Denzel Perryman,2,0,48,24
Germaine Pratt,2,0,3,3
Patrick Queen,2,0,11,11
Taylor Rapp,2,0,18,18
Amik Robertson,2,0,7,7
Asante Samuel Jr.,2,0,11,11
Josiah Scott,2,0,13,13
Nick Scott,2,0,0,0
Isaiah Simmons,2,1,61,56
Tremon Smith,2,0,33,26
Daniel Sorensen,2,0,50,36
Caden Sterns,2,0,25,23
Pat Surtain II,2,0,-3,0
Bobby Wagner,2,0,13,13
Mykal Walker,2,0,33,21
T.J. Watt,2,0,0,0
Jordan Whitehead,2,0,5,5
Andrew Adams,1,1,76,76
Jonathan Allen,1,0,1,1
Adrian Amos,1,0,26,26
Alex Anzalone,1,0,4,4
Carlos Basham,1,0,21,21
Christian Benford,1,0,35,35
Ja'Whaun Bentley,1,0,7,7
Justin Bethel,1,0,11,11
Julian Blackmon,1,1,17,17
Reed Blankenship,1,0,4,4
Jaquan Brisker,1,0,6,6
Derrick Brown,1,0,0,0
Baron Browning,1,0,-6,-6
Myles Bryant,1,0,11,11
Josh Bynes,1,0,0,0
Lorenzo Carter,1,1,28,28
Landon Collins,1,1,52,52
Zaven Collins,1,1,30,30
Ashtyn Davis,1,0,14,14
Carlton Davis,1,0,0,0
Demario Davis,1,0,4,4
Michael Davis,1,0,30,30
Tremaine Edmunds,1,0,4,4
DeShon Elliott,1,0,0,0
Tony Fields II,1,1,16,16
Tre Flowers,1,0,0,0
Dee Alford,1,0,0,0
Kristian Fulton,1,0,0,0
Dennis Gardeck,1,0,24,24
Willie Gay Jr.,1,1,47,47
Jack Gibbens,1,0,7,7
Alohi Gilman,1,0,18,18
A.J. Green,1,0,0,0
Jonathan Greenard,1,1,39,39
Dre Greenlaw,1,0,0,0
Jonas Griffith,1,0,1,1
Antonio Hamilton,1,0,0,0
Will Harris,1,0,0,0
Christian Harris,1,0,20,20
Casey Hayward,1,0,0,0
Jordan Hicks,1,0,19,19
Troy Hill,1,0,5,5
Mike Hilton,1,0,5,5
Amani Hooker,1,0,0,0
Justin Houston,1,0,5,5
