Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Justin Tucker,37,43,86,0/0,13/13,11/11,4/5,9/12,0/2,58,3
Daniel Carlson,34,37,91.9,0/0,9/9,11/11,3/4,11/13,0/0,57,1
Jason Myers,34,37,91.9,0/0,9/9,15/16,4/6,6/6,0/0,56,0
Eddy Pineiro,33,35,94.3,0/0,2/2,16/17,13/14,2/2,0/0,54,0
Nick Folk,32,37,86.5,1/1,9/9,8/8,10/14,4/5,0/0,54,0
Younghoe Koo,32,37,86.5,0/0,9/9,7/7,9/10,7/10,0/1,54,1
Ryan Succop,31,38,81.6,0/0,10/11,7/8,12/12,2/7,0/0,54,2
Chase McLaughlin,30,36,83.3,0/0,7/7,5/6,9/11,9/12,0/0,54,1
Riley Patterson,30,35,85.7,0/0,8/8,10/11,10/13,2/3,0/0,53,0
Greg Zuerlein,30,37,81.1,0/0,5/5,10/10,9/11,5/10,1/1,60,0
Ka'imi Fairbairn,29,31,93.6,0/0,7/7,7/8,9/10,6/6,0/0,56,0
Graham Gano,29,32,90.6,0/0,2/2,9/10,10/11,8/9,0/0,57,1
Brett Maher,29,32,90.6,0/0,9/9,5/5,6/7,8/10,1/1,60,0
Matt Gay,28,30,93.3,0/0,9/9,8/8,4/4,7/8,0/1,58,0
Brandon McManus,28,36,77.8,0/0,6/7,4/6,10/10,8/11,0/2,55,2
Tyler Bass,27,31,87.1,0/0,4/4,11/13,10/11,2/3,0/0,56,2
Robbie Gould,27,32,84.4,0/0,13/14,5/5,7/11,2/2,0/0,51,2
Greg Joseph,26,33,78.8,0/0,10/10,5/5,7/8,3/9,1/1,61,2
Jason Sanders,26,32,81.2,0/0,5/6,7/7,12/13,2/6,0/0,55,1
Mason Crosby,25,29,86.2,0/0,10/10,8/8,6/7,1/4,0/0,56,1
Joey Slye,25,30,83.3,1/1,8/8,4/5,8/10,4/6,0/0,58,0
Mike Badgley,24,28,85.7,0/0,6/7,7/7,9/11,2/3,0/0,53,0
Evan McPherson,24,29,82.8,1/1,5/6,4/4,9/13,5/5,0/0,59,0
Cade York,24,32,75,0/0,5/5,9/12,6/8,4/6,0/1,58,3
Wil Lutz,23,31,74.2,0/0,6/6,9/11,4/8,3/4,1/2,60,2
Matt Prater,22,25,88,0/0,1/1,10/10,6/8,5/6,0/0,57,0
Cameron Dicker,21,22,95.4,0/0,7/7,7/7,7/7,0/1,0/0,48,0
Cairo Santos,21,23,91.3,0/0,4/4,7/7,6/7,4/5,0/0,51,1
Chris Boswell,20,28,71.4,0/0,4/4,4/5,5/10,7/9,0/0,59,1
Jake Elliott,20,23,87,0/0,6/6,8/9,1/2,5/6,0/0,56,1
Harrison Butker,18,24,75,0/0,7/7,4/5,4/5,2/6,1/1,62,1
Randy Bullock,17,20,85,0/0,5/5,5/5,6/8,1/2,0/0,51,0
Dustin Hopkins,9,10,90,0/0,2/2,6/6,1/2,0/0,0/0,43,0
Matthew Wright,6,8,75,0/0,0/0,3/4,3/4,0/0,0/0,48,0
Matt Ammendola,5,7,71.4,1/1,3/3,1/2,0/1,0/0,0/0,31,0
Rodrigo Blankenship,4,5,80,0/0,2/2,0/0,1/2,1/1,0/0,50,0
Taylor Bertolet,3,3,100,0/0,3/3,0/0,0/0,0/0,0/0,28,0
Austin Seibert,3,5,60,0/0,0/0,1/1,2/3,0/1,0/0,48,0
Caleb Shudak,3,4,75,0/0,1/1,2/3,0/0,0/0,0/0,38,0
Nick Sciba,2,2,100,0/0,1/1,1/1,0/0,0/0,0/0,38,0
Dominik Eberle,1,1,100,0/0,0/0,0/0,1/1,0/0,0/0,49,0
Josh Lambo,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Justin Reid,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Mitch Wishnowsky,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
