Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Brett Favre,4413,7.7,570,359,63,38,13,99.6,227,39.8,59,5,99,33,217
Scott Mitchell,4338,7.4,583,346,59.4,32,12,92.3,221,37.9,56,10,91,31,145
Warren Moon,4228,7,606,377,62.2,33,14,91.5,213,35.2,49,12,85,38,277
Jeff George,4143,7.4,557,336,60.3,24,11,89.5,201,36.1,58,11,62,43,270
John Elway,3970,7.3,542,316,58.3,26,14,86.4,190,35.1,52,10,62,22,180
Jim Everett,3970,7,567,345,60.8,26,14,87,201,35.4,52,7,70,27,210
Erik Kramer,3838,7.4,522,315,60.3,29,10,93.5,201,38.5,42,13,76,15,95
Jeff Blake,3822,6.7,567,326,57.5,28,17,82,178,31.4,40,10,88,24,152
Dan Marino,3668,7.6,482,309,64.1,24,15,90.8,189,39.2,40,7,67,22,153
Dave Krieg,3554,6.8,521,304,58.4,16,21,72.6,168,32.2,52,4,48,53,380
Drew Bledsoe,3507,5.5,636,323,50.8,13,16,63.7,192,30.2,34,2,47,23,170
Stan Humphries,3381,7.1,478,282,59,17,14,80.4,170,35.6,35,4,51,23,197
Troy Aikman,3304,7.6,432,280,64.8,16,7,93.6,173,40,39,8,50,14,89
Steve Young,3200,7.2,447,299,66.9,20,11,92.3,159,35.6,36,7,57,25,115
Jim Kelly,3130,6.8,458,255,55.7,22,13,81.1,129,28.2,39,11,77,26,181
Steve Bono,3121,6,520,293,56.4,21,10,79.5,161,31,31,5,60,21,158
Neil O'Donnell,2970,7.1,416,246,59.1,17,7,87.7,137,32.9,44,4,71,15,126
Vinny Testaverde,2883,7.4,392,241,61.5,17,10,87.8,146,37.2,42,4,70,17,87
Dave Brown,2814,6.2,456,254,55.7,11,10,73.1,147,32.2,31,5,57,44,206
Trent Dilfer,2774,6.7,415,224,54,4,18,60.1,133,32,38,4,64,47,331
Gus Frerotte,2751,7,396,199,50.2,13,13,70.2,129,32.6,41,9,73,23,192
Kerry Collins,2717,6.3,433,214,49.4,14,19,61.9,130,30,35,8,89,24,150
Chris Miller,2623,6.5,405,232,57.3,18,15,76.2,129,31.8,32,4,72,31,244
Jim Harbaugh,2575,8.2,314,200,63.7,17,5,100.7,115,36.6,33,8,52,36,219
Rick Mirer,2564,6.6,391,209,53.4,13,20,63.7,127,32.5,35,7,59,42,255
Chris Chandler,2460,6.9,356,225,63.2,17,10,87.8,111,31.2,26,6,76,21,173
Rodney Peete,2326,6.2,375,215,57.3,8,14,67.3,111,29.6,22,0,37,33,166
