Player,Comb,Asst,Solo,Sck
Jessie Tuggle,153,42,111,1
Victor Green,144,34,110,2
Hardy Nickerson,140,54,86,1.5
Chris Spielman,135,47,88,1
Terry Wooden,133,20,113,0
Pepper Johnson,128,30,98,2
Junior Seau,128,17,111,2
Jeff Herrod,125,45,80,0
Bryan Cox,120,24,96,7.5
Toby Wright,119,17,102,1
Eric Hill,117,29,88,2
Michael Brooks,116,21,95,1
Mike Johnson,116,37,79,2
Ed McDaniel,115,30,85,4.5
Roman Phifer,115,28,87,3
Vincent Brown,114,38,76,4
Quentin Coryatt,114,20,94,2.5
Richard Harvey,114,27,87,2
Greg Lloyd,114,28,86,6.5
Darryl Williams,112,23,89,1
Mo Lewis,111,30,81,5
Marvcus Patton,111,19,92,2
Eugene Robinson,111,26,85,0
Steve Grant,109,31,78,2
Sean Lumpkin,108,25,83,0
Sam Mills,107,24,83,4.5
Cornelius Bennett,103,23,80,2
Kurt Gouveia,103,16,87,0
Terry Ray,102,23,79,0
Steve Atwater,101,20,81,0
Jesse Campbell,101,28,73,0
Darren Woodson,101,12,89,0
Carlton Bailey,100,25,75,3
Bennie Blades,100,28,72,1
LeRoy Butler,100,18,82,1
Roger Jones,99,11,88,2
Bryan Schwartz,98,25,73,0
Rod Stephens,98,18,80,0
Steve Tovar,98,22,76,1
Bo Orlando,97,15,82,0
Stanley Richard,97,12,85,0
Allen Aldridge,96,24,72,1.5
Blaine Bishop,96,23,73,1.5
Ken Norton,95,14,81,1
Chris Slade,95,24,71,4
Marty Carter,93,15,78,0
Kevin Ross,93,17,76,0
Stevon Moore,92,13,79,1
Doug Evans,91,15,76,1
Wayne Simmons,91,23,68,4
Tyrone Braxton,90,21,69,0
Marvin Jones,90,32,58,1.5
Keith Lyle,90,18,72,0
Mike A. Jones,89,7,82,0
Bryce Paup,89,19,70,17.5
Levon Kirkland,88,30,58,1
Brett Maxie,88,18,70,0
Micheal Barrow,87,32,55,3
Brock Marion,87,18,69,0
Ricky Reynolds,87,19,68,2.5
Willie McGinest,86,17,69,11
Ryan McNeil,86,17,69,0
Winston Moss,85,21,64,2
Ray Buchanan,84,14,70,1
Shaun Gayle,84,11,73,0
Todd Lyght,84,10,74,0
