Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Herman Moore,123,1686,14,20,6,69,90,73.2,2,0,0
Cris Carter,122,1371,17,17,2,60,80,65.6,0,0,0
Jerry Rice,122,1848,15,25,10,81,75,61.5,3,0,0
Isaac Bruce,119,1781,13,28,4,72,82,68.9,2,0,0
Michael Irvin,111,1603,10,23,6,50,88,79.3,1,0,0
Brett Perriman,108,1488,9,20,3,91,74,68.5,1,0,0
Eric Metcalf,104,1189,8,17,5,62,53,51,0,0,0
Robert Brooks,102,1497,13,17,5,99,70,68.6,0,0,0
Larry Centers,101,962,2,11,0,32,45,44.6,1,0,0
Carl Pickens,99,1234,17,13,5,68,65,65.7,1,0,0
Tony Martin,90,1224,6,16,2,51,60,66.7,3,0,0
Tim Brown,89,1342,10,18,4,80,66,74.2,0,0,0
Derek Loville,87,662,3,2,0,31,36,41.4,0,0,0
Yancey Thigpen,85,1307,5,21,2,43,64,75.3,1,0,0
Ben Coates,84,915,6,6,0,35,51,60.7,4,0,0
Jeff Graham,82,1301,4,21,6,51,67,81.7,1,0,0
Quinn Early,81,1087,8,14,4,70,54,66.7,1,0,0
Terance Mathis,78,1039,9,14,1,54,50,64.1,1,0,0
Brian Blades,77,1001,4,12,3,49,49,63.6,0,0,0
Bert Emanuel,74,1039,5,18,4,52,47,63.5,2,0,0
Jake Reed,72,1167,9,19,5,55,55,76.4,1,0,0
Amp Lee,71,558,1,4,0,33,29,40.8,1,0,0
Adrian Murrell,71,465,2,5,2,43,18,25.4,1,0,0
Joey Galloway,67,1039,7,13,4,59,46,68.7,1,0,0
Vincent Brisby,66,974,3,12,3,72,54,81.8,0,0,0
Mark Carrier,66,1002,3,15,4,66,45,68.2,0,0,0
Wayne Chrebet,66,726,4,7,0,32,37,56.1,1,0,0
Terry Kirby,66,618,3,5,1,46,30,45.4,0,0,0
Ronnie Harmon,63,673,5,6,1,44,33,52.4,0,0,0
Rob Moore,63,907,5,14,2,45,46,73,0,0,0
Shannon Sharpe,63,756,4,10,2,49,39,61.9,1,0,0
Calvin Williams,63,768,2,8,0,37,36,57.1,2,0,0
Curtis Conway,62,1037,12,14,7,76,47,75.8,0,0,0
Irving Fryar,62,910,8,12,2,67,46,74.2,0,0,0
Jackie Harris,62,751,1,9,0,33,34,54.8,2,0,0
O.J. McDuffie,62,819,8,9,1,48,50,80.6,2,0,0
Jay Novacek,62,705,5,5,0,33,40,64.5,1,0,0
Emmitt Smith,62,375,0,2,1,40,14,22.6,0,0,0
Ricky Watters,62,434,1,3,0,24,19,30.6,2,0,0
Edgar Bennett,61,648,4,12,0,35,27,44.3,1,0,0
Earnest Byner,61,494,2,3,0,29,31,50.8,0,0,0
Haywood Jeffires,61,684,8,6,0,35,37,60.7,0,0,0
Brent Jones,60,595,3,7,0,39,38,63.3,3,0,0
Todd McNair,60,501,1,4,0,25,19,31.7,0,0,0
Anthony Miller,59,1079,14,17,6,62,44,74.6,1,0,0
Wesley Walls,57,694,4,10,0,29,40,70.2,1,0,0
Chris Calloway,56,796,3,12,2,49,43,76.8,0,0,0
Henry Ellard,56,1005,5,19,3,59,50,89.3,1,0,0
Marshall Faulk,56,475,3,4,0,34,18,32.1,1,0,0
Keenan McCardell,56,709,4,10,0,36,32,57.1,0,0,0
Kimble Anders,55,349,1,2,0,28,15,27.3,0,0,0
Tony McGee,55,754,4,12,1,41,31,56.4,2,0,0
Mark Chmura,54,679,7,13,0,33,44,81.5,0,0,0
Harvey Williams,54,375,0,2,0,28,16,29.6,0,0,0
Bill Brooks,53,763,11,14,3,51,32,60.4,0,0,0
Willie Jackson,53,589,5,6,1,45,29,54.7,1,0,0
Sean Dawkins,52,784,3,12,3,52,37,71.2,1,0,0
Dave Meggett,52,334,0,0,0,19,17,32.7,1,0,0
Frank Sanders,52,883,2,19,2,48,36,69.2,0,0,0
Darnay Scott,52,821,5,11,4,88,33,63.5,0,0,0
Keith Byars,51,362,2,2,0,26,18,35.3,0,0,0
Terrell Davis,49,367,1,2,0,31,18,36.7,1,0,0
Lonnie Johnson,49,504,1,5,2,52,21,42.9,0,0,0
Fred Barnett,48,585,5,6,0,33,32,66.7,0,0,0
Andre Hastings,48,502,1,6,0,36,26,54.2,0,0,0
Shawn Jefferson,48,621,2,6,1,45,30,62.5,0,0,0
Dorsey Levens,48,434,4,4,0,27,24,50,0,0,0
Barry Sanders,48,398,1,3,1,40,18,37.5,1,0,0
Troy Drayton,47,458,4,4,0,31,29,61.7,2,0,0
William Floyd,47,348,1,2,0,23,19,40.4,0,0,0
Willie Green,47,882,6,12,5,89,38,80.8,1,0,0
