Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,79,19.1,981
Bills,0,0,0,0,105,21.7,981
Bears,0,0,0,0,91,23.3,927
Bengals,0,0,0,0,117,26.5,1010
Browns,0,0,0,0,117,22.9,987
Cowboys,0,0,0,0,109,22.6,991
Broncos,0,0,0,0,110,24.1,968
Lions,0,0,0,0,142,26.7,1078
Packers,0,0,0,0,113,23.8,982
Oilers,0,0,0,0,89,22.7,891
Colts,0,0,0,0,130,25.3,1034
Chiefs,0,0,0,0,85,22.8,945
Rams,0,0,0,0,93,22.2,949
Raiders,0,0,0,0,95,21.6,924
Dolphins,0,0,0,0,110,23.9,968
Vikings,0,0,0,0,107,21.3,972
Patriots,0,0,0,0,151,26.7,972
Saints,0,0,0,0,91,22.2,986
Giants,0,0,0,0,90,23.2,914
Jets,0,0,0,0,112,26.5,977
Eagles,0,0,0,0,59,17.5,948
Cardinals,0,0,0,0,140,26.9,959
Steelers,0,0,0,0,102,22.9,940
Chargers,0,0,0,0,92,21.7,932
49ers,0,0,0,0,77,21.8,921
Seahawks,0,0,0,0,86,20.8,951
Buccaneers,0,0,0,0,130,26.2,1000
Redskins,0,0,0,0,77,20.2,940
