Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Redskins,25,75.8,39,100,0,0
Patriots,23,69.7,46,93.9,0,1
Eagles,23,74.2,36,92.3,1,0
Bills,21,63.6,25,86.2,0,0
Oilers,21,84,41,95.4,0,0
Dolphins,21,72.4,36,90,0,1
49ers,20,83.3,32,91.4,1,0
Cowboys,19,65.5,40,90.9,0,0
Seahawks,19,82.6,43,93.5,0,0
Raiders,18,66.7,41,91.1,1,0
Steelers,18,60,50,96.2,0,0
Browns,17,58.6,38,88.4,0,0
Bears,16,59.3,34,91.9,1,1
Saints,16,76.2,44,95.6,0,0
Jets,16,53.3,35,83.3,0,0
Chargers,16,61.5,47,90.4,0,0
Colts,14,50,31,93.9,0,1
Falcons,13,52,31,83.8,0,0
Bengals,13,56.5,40,95.2,0,0
Broncos,13,61.9,32,94.1,0,0
Rams,13,52,36,92.3,0,0
Vikings,13,59.1,28,90.3,0,0
Packers,12,60,24,80,1,0
Chiefs,12,52.2,28,96.6,0,2
Cardinals,12,46.2,30,76.9,1,0
Buccaneers,11,57.9,30,85.7,0,0
Lions,10,55.6,25,96.2,0,0
Giants,9,45,28,96.6,0,0
