Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Raiders,22.7,65,1475,1,0,0,104T,0,0
Cardinals,22.7,71,1609,1,0,0,106T,0,0
Vikings,22.6,61,1380,0,0,0,83,0,0
Eagles,22.5,56,1261,1,0,0,92T,0,0
Dolphins,22.5,51,1148,0,0,0,43,0,0
Chargers,21.3,50,1066,0,0,0,41,0,0
Packers,21.2,61,1295,1,0,0,100T,0,0
Redskins,20.8,55,1145,0,0,0,38,0,0
Bears,20.7,51,1054,1,0,0,83T,0,0
Seahawks,20.6,70,1444,0,0,0,39,0,0
Jets,20.5,76,1561,0,0,0,52,0,0
49ers,20.5,75,1538,1,0,0,85T,0,0
Browns,20.4,75,1531,0,0,0,45,0,0
Lions,20.1,78,1569,0,0,0,69,0,0
Colts,20,70,1402,0,0,0,58,0,0
Saints,20,66,1319,0,0,0,39,0,0
Chiefs,19.7,51,1004,0,0,0,52,0,0
Rams,19.6,66,1292,0,0,0,55,0,0
Cowboys,19.4,68,1316,0,0,0,70,0,0
Steelers,19.4,51,987,0,0,0,44,0,0
Broncos,19.3,50,966,0,0,0,37,0,0
Bengals,19.3,81,1560,0,0,0,36,0,0
Bills,19.2,59,1131,0,0,0,36,0,0
Buccaneers,18.8,51,959,0,0,0,31,0,0
Falcons,18.8,73,1370,0,0,0,33,0,0
Patriots,18.8,66,1239,0,0,0,38,0,0
Giants,18.7,67,1255,0,0,0,75,0,0
Oilers,18.4,67,1234,0,0,0,37,0,0
