Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,19,11,31,1
Dolphins,17,20,38,0
49ers,15,15,30,0
Lions,14,14,29,0
Colts,13,11,26,2
Bills,12,19,32,3
Eagles,12,15,28,1
Browns,10,8,19,4
Falcons,9,9,18,1
Jaguars,9,9,20,2
Rams,9,8,17,2
Cardinals,9,8,17,2
Chargers,9,18,28,1
Bears,8,14,23,1
Cowboys,8,17,29,2
Raiders,7,9,17,1
Saints,7,13,22,3
Seahawks,7,11,20,1
Commanders,7,17,25,2
Titans,6,7,13,0
Steelers,6,7,14,0
Packers,5,14,20,2
Texans,5,16,22,1
Patriots,5,10,15,0
Bengals,4,14,20,0
Chiefs,4,17,21,0
Vikings,4,21,25,1
Giants,4,7,12,0
Jets,3,5,9,2
Buccaneers,3,14,18,2
Panthers,2,10,15,1
Broncos,1,18,20,2
