Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,324,1549,4.8,19,10,3,60T,88,27.2,4
Browns,314,1331,4.2,10,7,3,69,75,23.9,4
Falcons,311,1304,4.2,9,6,0,38,75,24.1,5
Bears,302,1351,4.5,8,7,0,34,81,26.8,2
Giants,290,1136,3.9,4,5,0,34T,57,19.7,3
Eagles,290,1167,4,12,5,1,43,83,28.6,6
Colts,286,1180,4.1,13,9,3,56,60,21,3
Saints,277,1000,3.6,7,1,0,20T,64,23.1,2
Lions,275,1251,4.6,14,8,3,75T,66,24,3
49ers,273,1212,4.4,15,5,2,65,74,27.1,4
Cardinals,265,1265,4.8,9,13,3,45T,64,24.2,3
Cowboys,262,1061,4,8,5,1,46,62,23.7,3
Bills,254,1165,4.6,12,7,1,42,82,32.3,5
Jaguars,254,959,3.8,9,7,0,35T,53,20.9,2
Texans,248,884,3.6,5,1,0,22,45,18.2,3
Raiders,246,833,3.4,7,3,1,40T,46,18.7,5
Patriots,245,949,3.9,5,2,1,64T,61,24.9,1
Chargers,236,907,3.8,9,5,3,55T,47,19.9,0
Rams,234,944,4,9,4,0,31,54,23.1,1
Broncos,232,1056,4.6,1,7,0,38,57,24.6,2
Vikings,231,857,3.7,4,1,0,22,45,19.5,5
Steelers,230,929,4,6,7,0,25,58,25.2,3
Buccaneers,230,703,3.1,3,1,0,31,37,16.1,1
Dolphins,227,1331,5.9,17,14,7,76T,61,26.9,10
Chiefs,226,934,4.1,4,4,1,48T,57,25.2,1
Packers,224,919,4.1,5,6,1,40,44,19.6,3
Titans,222,958,4.3,6,5,1,63,49,22.1,2
Seahawks,214,898,4.2,7,7,1,45T,51,23.8,1
Panthers,212,813,3.8,2,3,0,26,53,25,3
Commanders,202,879,4.4,7,5,0,29,55,27.2,4
Jets,198,935,4.7,3,6,3,83T,39,19.7,7
Bengals,186,673,3.6,4,3,0,22,46,24.7,0
