Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,267,2858,10.7,21,43,5,62,138,51.7,3
Commanders,264,2783,10.5,17,32,3,51,127,48.1,2
Saints,248,2526,10.2,13,28,8,58,113,45.6,0
Bills,246,2600,10.6,19,27,5,55,124,50.4,4
Bengals,233,2208,9.5,14,20,4,64,110,47.2,3
Chiefs,232,2473,10.7,17,29,4,54,120,51.7,4
Cowboys,225,2514,11.2,17,39,4,60,121,53.8,4
Lions,223,2507,11.2,14,41,5,46,120,53.8,3
Patriots,222,2135,9.6,10,19,2,58T,98,44.1,4
Panthers,217,1928,8.9,10,17,4,48T,97,44.7,2
Chargers,217,2398,11,18,35,4,60,116,53.5,5
Dolphins,216,2676,12.4,20,34,8,69,131,60.6,3
Colts,213,2298,10.8,11,30,6,75,106,49.8,2
Eagles,210,2347,11.2,15,32,6,63,106,50.5,1
Jaguars,207,2146,10.4,9,25,3,56,97,46.9,6
Falcons,203,2260,11.1,9,27,5,60T,110,54.2,1
Ravens,199,2215,11.1,11,31,5,80T,98,49.2,5
Raiders,199,2111,10.6,9,16,3,50,108,54.3,1
Cardinals,198,1880,9.5,8,19,2,69,96,48.5,0
Seahawks,198,2234,11.3,11,27,4,64T,102,51.5,0
Texans,197,2632,13.4,16,43,5,75,126,64,2
Buccaneers,197,2143,10.9,14,32,6,70T,99,50.2,5
Giants,196,1748,8.9,7,22,2,58,81,41.3,3
Bears,194,2060,10.6,14,24,3,58T,103,53.1,3
Rams,184,2242,12.2,8,37,3,49T,104,56.5,1
Jets,183,1863,10.2,5,22,3,68,81,44.3,1
Broncos,178,1806,10.2,18,23,5,60,83,46.6,5
Packers,177,2023,11.4,14,26,4,77T,99,55.9,3
49ers,174,2336,13.4,15,38,5,66,109,62.6,2
Browns,173,1863,10.8,8,22,6,59,83,48,3
Steelers,173,1772,10.2,7,21,3,72,76,43.9,2
Titans,163,1903,11.7,7,30,7,70,80,49.1,1
