Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Dolphins,245,120,18,13,188,56.8,129,25.3,1088
Lions,234,84,26,7,168,53.2,82,20,1037
Browns,233,76,15,10,118,53.9,102,20.5,971
Jets,232,86,20,15,131,62.4,132,21.8,1030
Bengals,229,93,14,10,158,55.2,109,21.6,1011
Chiefs,227,62,29,14,139,47,91,20.8,1019
Jaguars,226,102,21,12,170,54,114,25.5,1010
Rams,226,73,28,10,159,51,79,19.2,998
Seahawks,225,75,19,8,184,49.5,80,20.2,1045
Vikings,223,100,12,8,220,58.4,99,21.2,1054
Panthers,220,82,20,9,152,57.6,123,23.4,1023
Packers,219,103,9,3,201,56.3,102,23.3,1042
Niners,218,65,21,12,137,43.9,77,20.8,939
Buccaneers,218,71,22,9,148,53,80,19.8,961
Bears,217,81,18,7,170,50,71,19,971
Falcons,216,91,23,16,192,57.8,105,23.3,1048
Redskins,216,86,22,7,191,56.2,72,18.4,970
Broncos,215,78,18,7,186,54.6,95,21.6,1032
Ravens,214,89,13,6,187,58.3,115,24.6,1014
Titans,214,89,22,12,154,56.8,115,23,990
Raiders,213,63,21,10,131,51.4,81,19.8,944
Giants,210,90,15,9,194,57.4,103,23.2,1017
Eagles,207,75,14,6,182,54.3,87,22.7,975
Patriots,206,90,22,11,222,56.9,114,24.5,1076
Texans,204,82,12,8,231,57.9,93,21.9,1043
Steelers,203,80,12,8,210,59.8,96,22.4,1014
Cowboys,202,82,11,4,203,58.5,110,25.2,1020
Bills,198,51,15,7,126,49.2,81,19.1,911
Saints,197,88,15,6,215,56.9,115,24.6,1032
Colts,193,95,11,5,241,60,69,18.8,980
Cardinals,190,69,9,5,215,54.8,77,21.1,985
Chargers,187,83,10,5,222,65.7,80,18.7,972
