Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Seahawks,609,372,61.1,6.2,3771,20,19,76.7,184,30.2,39,6,53T,41,268
Colts,601,402,66.9,7.7,4605,34,19,95.4,241,40.1,62,8,80,13,90
Cardinals,594,392,66,7.1,4200,27,18,89.1,215,36.2,49,3,45,26,184
Texans,593,399,67.3,8.1,4803,29,17,96.3,231,39,63,15,72,25,149
Patriots,592,390,65.9,7.7,4540,28,13,95.6,222,37.5,43,12,81T,18,104
Lions,585,316,54,5.9,3471,16,32,58.1,168,28.7,39,6,75T,43,303
Falcons,570,332,58.2,6.5,3697,26,17,80.4,192,33.7,39,5,90,27,126
Bears,563,340,60.4,6.5,3677,27,27,75.6,170,30.2,56,6,71T,35,204
Broncos,558,341,61.1,6.8,3825,21,13,84.4,186,33.3,43,9,87T,34,198
Packers,553,357,64.6,8.1,4492,30,8,101.8,201,36.4,55,17,83T,51,312
Vikings,553,377,68.2,8,4403,34,7,107.3,220,39.8,55,13,63T,34,247
Eagles,553,335,60.6,7.9,4380,27,13,92,182,32.9,65,21,71,38,291
Cowboys,550,347,63.1,8.2,4483,26,9,97.6,203,36.9,61,17,80T,34,196
Dolphins,545,331,60.7,6.2,3396,15,19,73.3,188,34.5,29,4,67,34,226
Saints,544,378,69.5,8.2,4490,34,12,106,215,39.5,58,11,75T,20,135
Rams,543,312,57.5,5.5,2970,12,21,64,159,29.3,32,2,50T,44,284
Giants,542,338,62.4,7.8,4246,28,14,93.2,194,35.8,62,12,74,32,227
Chiefs,536,296,55.2,5.9,3183,18,17,70.8,139,25.9,41,9,61T,45,261
Steelers,536,351,65.5,8.4,4496,28,14,98.1,210,39.2,64,14,60,50,348
Redskins,533,340,63.8,7.1,3797,21,16,85.6,191,35.8,43,10,84,46,307
Niners,528,312,59.1,6.2,3293,23,14,80.8,137,26,42,7,73,40,241
Buccaneers,524,279,53.2,6,3134,18,29,59.8,148,28.2,40,4,47,33,161
Jaguars,519,315,60.7,6.9,3599,15,10,83.2,170,32.8,44,6,63,44,243
Chargers,519,338,65.1,8.7,4506,29,10,103.1,222,42.8,67,13,81,26,168
Ravens,510,321,62.9,7.1,3637,21,13,87.4,187,36.7,44,8,72,36,218
Raiders,485,255,52.6,5.9,2875,10,18,62,131,27,30,4,86,49,318
Bengals,477,286,60,6.6,3134,21,13,82.7,159,33.3,36,5,73,29,244
Titans,476,271,56.9,6.5,3104,16,15,74.8,154,32.4,32,8,69,15,73
Panthers,465,264,56.8,6.6,3070,16,20,70.4,152,32.7,39,10,66,33,271
Browns,443,219,49.4,5.1,2255,11,18,55.8,118,26.6,25,4,59T,30,179
Bills,441,256,58,6.3,2789,17,19,71.7,126,28.6,31,6,98,46,274
Jets,393,210,53.4,6.6,2596,12,21,62,131,33.3,37,8,65,30,216
