Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bills,247,92,12,9,174,55.8,111,23.4,1080
Ravens,236,95,6,1,156,54.4,116,22.7,1058
Jaguars,235,100,14,5,193,58,109,22.7,1080
Patriots,234,82,26,13,172,52.4,80,18.9,1037
Jets,233,89,17,11,192,54.6,84,20.1,1075
Giants,229,92,15,7,195,62.7,100,19.7,1064
Steelers,229,86,10,5,128,59,124,23.5,1009
Titans,228,97,11,4,167,58.4,107,19.6,1036
Bengals,227,77,25,10,109,52.7,119,24,1001
Saints,227,97,17,10,169,56.7,117,23.2,1041
Lions,224,72,13,6,143,51.6,101,22.5,951
Eagles,224,90,11,7,182,55,88,22.2,1017
Bears,222,67,25,11,143,47,89,21.3,993
Chargers,219,72,14,3,156,50.2,63,18,982
Broncos,218,97,17,9,223,63,124,24,1115
Packers,218,85,12,7,197,56.6,88,21.8,1038
Dolphins,214,75,6,4,122,50.2,104,21,945
Redskins,213,84,10,4,185,53.9,98,22,1038
Browns,210,58,19,6,110,39.6,53,15.8,859
Raiders,206,89,8,3,177,62.3,128,24.6,1023
Seahawks,205,83,14,7,168,54.6,98,24.3,956
Chiefs,204,75,13,4,207,60.5,84,21.9,999
49ers,202,84,20,10,211,57.6,98,23.6,1024
Colts,201,94,10,9,213,59.7,111,25.5,1026
Cardinals,199,75,27,8,156,49.4,71,20.7,932
Panthers,198,78,14,8,201,59.1,63,17.4,998
Buccaneers,198,66,12,5,144,60.8,111,22.6,961
Falcons,197,57,13,6,156,54.7,65,18.6,925
Cowboys,195,70,18,10,128,50.2,116,25,943
Vikings,188,86,13,8,193,62.9,107,25,958
Rams,181,86,13,8,247,65,112,29.2,1014
