Team,Rsh TD,Rec TD,Tot TD,2-PT
Rams,26,37,66,2
Raiders,23,28,57,1
Broncos,21,28,56,1
Steelers,19,12,33,1
Jaguars,18,22,40,0
Buccaneers,18,18,42,1
Dolphins,16,15,32,0
Giants,16,22,39,0
Cowboys,15,14,31,0
Lions,15,14,33,3
49ers,15,32,49,1
Titans,14,18,37,0
Colts,14,33,49,1
Vikings,14,33,47,0
Saints,14,22,40,1
Redskins,14,18,32,0
Bengals,13,6,21,0
Packers,13,21,36,0
Eagles,13,21,38,0
Chiefs,12,29,44,0
Bills,11,20,34,1
Jets,11,23,36,0
Seahawks,10,21,35,0
Ravens,9,20,32,1
Patriots,9,18,28,1
Panthers,7,19,31,1
Browns,7,9,17,0
Chargers,7,19,31,0
Falcons,6,14,25,1
Bears,6,12,22,0
Cardinals,6,16,23,0
