Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Steelers,23.3,56,1304,1,29,6,84T,0,4
Cowboys,22.2,77,1709,1,45,3,97T,0,4
Vikings,22,51,1122,1,28,2,93T,0,6
Patriots,21.2,69,1462,0,36,3,47,0,4
Bears,21.1,73,1539,1,36,3,96T,0,2
Lions,20.8,61,1272,0,27,3,62,1,1
Saints,20.4,63,1284,1,33,1,99T,0,2
Broncos,20.4,43,876,0,22,1,68,0,0
Redskins,20.3,58,1176,1,28,3,99T,0,0
Bills,20,53,1058,0,24,3,85,0,2
Cardinals,19.9,83,1650,0,41,1,52,0,3
Rams,19.8,67,1328,0,30,2,74,0,3
Colts,19.4,60,1164,0,30,1,49,0,3
Chargers,19.3,64,1235,1,31,1,91T,0,1
Seahawks,19.2,65,1246,1,22,1,97T,1,3
Dolphins,18.9,61,1153,1,26,1,97T,0,3
Falcons,18.9,80,1509,0,35,2,72,0,1
49ers,18.7,51,954,0,21,3,60,0,5
Browns,18.6,50,932,0,20,3,49,0,2
Raiders,18.6,54,1002,0,21,2,49,0,4
Giants,18.2,51,926,0,23,1,43,0,3
Packers,18,69,1239,0,27,1,46,2,3
Chiefs,17.6,52,915,0,18,0,37,0,0
Jets,17.4,75,1309,0,29,5,69,0,5
Bengals,17.4,54,941,0,18,0,33,1,2
Oilers,17.4,74,1285,0,26,1,63,0,3
Buccaneers,17,62,1055,0,22,0,36,0,4
Eagles,16.9,49,828,0,19,1,45,0,5
