Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Giants,12.6,46,582,1,7,2,76T,14,4
Colts,12.4,26,322,1,4,2,49T,12,1
Lions,12.2,47,572,0,8,1,74,8,3
Cardinals,11.7,40,469,0,5,1,53,13,1
49ers,10.7,40,429,0,5,0,37,20,3
Falcons,10.7,32,341,1,2,1,68T,7,2
Dolphins,10.2,33,338,1,1,1,70T,11,3
Browns,10.1,49,496,0,9,3,49,15,0
Vikings,10,45,448,0,3,2,65,27,4
Rams,9.5,35,332,0,3,0,25,24,1
Raiders,9.4,40,378,0,2,0,29,9,1
Buccaneers,9.2,32,296,0,2,1,55,4,1
Bills,9.1,33,301,0,1,0,26,12,1
Jets,9.1,33,299,0,4,0,30,12,3
Eagles,9,37,331,0,3,0,28,12,2
Redskins,8.7,26,226,0,1,0,38,20,4
Patriots,8.4,45,379,0,4,0,28,6,3
Seahawks,8.4,30,251,0,1,0,21,17,2
Packers,8.3,35,289,0,0,0,17,9,1
Saints,8,55,440,1,3,2,57T,9,4
Broncos,7.6,45,344,0,3,0,38,9,7
Chiefs,7.5,44,331,0,2,0,21,7,3
Chargers,7.2,38,272,0,2,1,52,20,6
Steelers,7,40,278,0,1,0,20,2,1
Bears,6.9,32,220,0,1,0,24,8,3
Oilers,6.4,19,122,0,0,0,19,21,3
Cowboys,6.4,31,197,0,0,0,17,11,1
Bengals,5.8,38,221,0,0,0,17,13,3
