Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Vikings,32,72.7,35,97.2,1,0
Patriots,30,75,27,90,0,0
Giants,29,76.3,35,94.6,0,1
49ers,29,80.6,49,96.1,0,0
Redskins,29,72.5,41,100,1,0
Broncos,27,81.8,39,97.5,0,0
Oilers,25,67.6,40,100,0,0
Chiefs,24,72.7,34,97.1,0,0
Falcons,23,71.9,30,100,0,1
Bills,23,76.7,46,97.9,0,0
Rams,23,76.7,51,100,0,0
Raiders,23,67.6,34,100,0,0
Packers,22,78.6,42,100,0,0
Buccaneers,22,78.6,33,94.3,0,0
Colts,21,77.8,31,96.9,0,1
Steelers,21,70,28,100,1,0
Lions,20,95.2,36,100,0,0
Saints,20,69,44,97.8,1,1
Eagles,20,60.6,40,100,0,0
Dolphins,19,73.1,38,97.4,1,1
Cardinals,18,69.2,28,96.6,0,0
Chargers,17,68,29,96.7,1,0
Browns,16,66.7,40,100,0,0
Bears,15,79,43,95.6,1,0
Seahawks,15,60,27,100,1,0
Bengals,14,70,50,96.2,0,0
Jets,14,66.7,29,96.7,0,0
Cowboys,10,50,24,96,1,0
