Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Falcons,536,351,65.5,7.3,3918,28,12,192,35.8,28
Panthers,544,347,63.8,6.8,3696,21,14,197,36.2,53
Rams,562,348,61.9,6.4,3625,23,13,194,34.5,50
Buccaneers,664,408,61.4,6.5,4322,30,12,222,33.4,47
Patriots,536,303,56.5,5.4,2886,13,25,150,28,47
Bengals,499,308,61.7,7.8,3917,25,11,183,36.7,31
Dolphins,545,344,63.1,7.7,4198,39,13,214,39.3,23
Eagles,571,348,61,6.8,3865,27,11,185,32.4,43
Giants,556,369,66.4,7.6,4225,30,10,211,38,36
Cowboys,569,370,65,6.3,3576,21,7,188,33,39
Chargers,464,328,70.7,6.9,3204,21,11,156,33.6,30
Jaguars,517,327,63.2,7.3,3778,22,10,193,37.3,47
Saints,603,371,61.5,6.4,3868,27,13,197,32.7,51
Bears,571,362,63.4,6.2,3554,17,10,190,33.3,32
Chiefs,582,352,60.5,6.1,3543,21,16,190,32.6,45
Packers,546,326,59.7,6.8,3721,19,17,191,35,41
Lions,611,381,62.4,7.4,4551,33,7,232,38,28
Cardinals,601,421,70,7.5,4510,38,7,243,40.4,40
Browns,513,318,62,6.8,3470,25,14,184,35.9,38
Texans,586,375,64,7.3,4276,33,12,220,37.5,31
Raiders,526,337,64.1,7.8,4107,33,9,201,38.2,32
Jets,585,363,62,6.5,3779,25,12,187,32,35
Seahawks,598,383,64,7.1,4223,19,16,224,37.5,28
Bills,553,348,62.9,5.6,3123,15,14,169,30.6,44
Colts,562,394,70.1,7.1,3982,29,15,207,36.8,41
Steelers,514,314,61.1,6.1,3113,23,20,164,31.9,54
Broncos,537,348,64.8,6.7,3609,19,10,175,32.6,40
Redskins,540,371,68.7,7.1,3823,35,13,200,37,46
49ers,519,318,61.3,5.2,2707,23,12,150,28.9,48
Vikings,601,394,65.6,6.2,3737,23,17,215,35.8,48
Titans,598,386,64.6,6.8,4080,25,14,213,35.6,43
Ravens,544,318,58.5,6.1,3315,15,13,163,30,37
