Team,FF,FR,FR TD
49ers,23,15,2
Steelers,22,18,2
Buccaneers,21,15,4
Vikings,19,14,1
Cardinals,19,10,0
Seahawks,19,16,1
Falcons,17,8,1
Bills,16,9,0
Lions,16,11,1
Redskins,16,9,0
Ravens,15,12,4
Rams,15,11,2
Patriots,15,11,2
Eagles,15,9,2
Cowboys,14,10,1
Texans,14,10,0
Colts,14,8,0
Jaguars,13,8,1
Chiefs,13,7,2
Bears,12,9,0
Browns,12,6,0
Packers,12,7,0
Titans,11,9,2
Saints,11,10,1
Jets,10,8,2
Bengals,9,5,0
Broncos,9,6,1
Raiders,9,6,0
Dolphins,9,3,0
Giants,9,6,1
Panthers,8,7,1
Chargers,6,3,0
