Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Eagles,205,70,18,11,76,21.5,967
Patriots,195,47,22,8,72,19.7,948
Bengals,209,89,10,5,124,24.6,1034
Lions,214,94,15,7,94,20.7,1094
Jaguars,190,79,11,5,114,26.2,999
Buccaneers,218,75,27,13,70,19.3,1073
Bears,209,76,23,13,86,20.8,1017
Bills,212,76,21,8,93,24,985
Giants,216,86,14,8,100,21.3,1061
Jets,225,88,12,3,75,18,1037
Rams,218,86,24,14,100,22.5,1056
Falcons,193,77,20,12,108,25.6,985
Panthers,193,77,9,6,128,28.8,1042
Colts,199,85,19,8,93,24.3,986
Dolphins,194,81,13,8,113,23.3,1053
Cowboys,201,67,22,10,101,24.8,1015
Packers,197,75,18,8,99,24.1,998
Broncos,211,79,19,9,96,22.5,1003
Raiders,190,81,13,9,91,22.5,963
49ers,192,64,25,8,105,26.2,968
Seahawks,185,71,12,7,97,25,1014
Cardinals,214,100,14,3,94,21.4,1080
Browns,195,74,17,6,124,26.8,1014
Steelers,209,76,21,10,110,23.8,1030
Vikings,214,85,29,16,78,19.3,1053
Chargers,195,88,13,8,101,23.5,923
Texans,202,98,16,7,98,24.3,1020
Saints,210,73,25,11,71,20.6,999
Ravens,194,72,18,6,74,21.8,921
Chiefs,202,75,31,16,115,27.6,1043
Titans,204,74,25,10,95,22.9,1056
Redskins,227,111,19,12,120,24.3,1079
