Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Panthers,26.2,50,1310,1,30,5,93T,0,2
Cowboys,25.3,53,1339,0,30,6,89,0,1
Saints,24.4,78,1899,0,53,8,58,0,1
Lions,24.3,69,1675,0,46,4,65,0,0
Broncos,23.9,50,1195,0,31,5,59,0,3
Bears,23.9,56,1337,0,34,3,75,0,2
Chiefs,23.7,66,1567,1,39,4,97T,1,2
Buccaneers,23.4,55,1287,0,35,3,63,0,2
Bills,23.1,58,1341,1,36,2,97T,0,1
Colts,23,61,1403,1,38,2,95T,0,2
Eagles,22.5,64,1439,2,41,2,97T,0,1
Patriots,22.2,64,1424,0,39,3,54,0,3
Packers,22.1,47,1038,1,26,2,90T,0,1
Steelers,22.1,53,1171,1,30,3,91T,0,0
Dolphins,22,60,1320,0,38,3,59,0,2
Jaguars,21.8,67,1463,0,39,1,73,0,3
Seahawks,21.7,71,1542,0,41,4,86,0,1
Chargers,21.6,63,1358,0,33,3,57,0,3
Redskins,21.6,65,1401,0,43,4,50,0,1
Oilers,21.5,66,1421,0,35,3,88,0,2
49ers,21.3,59,1258,0,35,2,71,0,2
Cardinals,21.1,75,1582,0,41,1,92,0,3
Falcons,21,87,1825,0,39,4,55,0,0
Raiders,20.9,61,1276,0,33,1,48,0,1
Bengals,20.8,70,1459,1,35,3,90T,0,2
Ravens,20.2,86,1734,0,45,2,44,0,5
Rams,19.9,62,1233,0,27,3,44,0,2
Giants,19.5,66,1287,0,35,2,47,0,2
Jets,19,79,1504,0,37,0,37,1,0
Vikings,18.5,58,1075,0,23,1,60,0,2
