Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Packers,91,5861,9,9.9,76,21.7,2,0,3,0
Patriots,90,5749,9,10,81,20.8,0,0,0,0
Panthers,88,5698,12,13.6,71,20.1,2,0,3,0
49ers,87,5444,9,10.3,77,18.4,0,0,1,0
Broncos,84,5518,8,9.5,76,21.1,0,0,0,1
Eagles,83,4982,4,4.8,73,23.5,3,1,3,0
Oilers,82,5058,2,2.4,78,21.5,2,0,0,0
Colts,82,5540,14,17.1,67,24.9,1,0,0,0
Redskins,82,5063,3,3.7,76,21.2,1,0,2,0
Ravens,80,4879,6,7.5,70,20,2,1,2,0
Bengals,80,4972,7,8.8,69,23.8,1,0,3,1
Raiders,79,5053,19,24,55,20.5,2,1,1,0
Steelers,79,4973,7,8.9,69,21.9,1,1,2,1
Seahawks,77,4922,2,2.6,72,22.8,2,1,1,0
Jaguars,76,4781,2,2.6,71,23.6,1,1,2,0
Chargers,75,5094,15,20,59,25.4,0,0,1,0
Bills,74,4580,6,8.1,65,19.3,3,2,0,0
Cowboys,74,4565,2,2.7,70,20.4,1,0,1,0
Falcons,73,4794,16,21.9,53,24.8,3,1,1,1
Rams,73,4583,10,13.7,58,22.2,2,1,3,2
Dolphins,73,4799,20,27.4,48,22,3,1,2,0
Vikings,72,4898,17,23.6,53,24.8,1,0,2,0
Bears,70,4237,11,15.7,52,21.4,4,1,3,1
Cardinals,69,4147,3,4.4,61,21.2,4,1,1,1
Chiefs,68,4027,1,1.5,64,20.3,3,1,1,0
Lions,67,4416,12,17.9,52,25,3,1,1,0
Jets,67,4356,9,13.4,58,25.6,0,0,0,1
Giants,65,4339,20,30.8,42,22.6,1,0,2,0
Saints,61,3837,6,9.8,52,22.2,2,0,1,0
Buccaneers,59,3921,8,13.6,51,19.1,0,0,0,0
