Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Packers,15.1,58,875,3,13,4,92T,17,1
Chargers,14.7,38,559,1,8,2,81T,14,3
Rams,12.5,35,439,2,7,4,78T,16,4
Broncos,11.9,49,583,0,9,1,40,19,6
Buccaneers,11.7,41,481,1,5,2,88T,9,2
Giants,11.4,42,478,2,6,2,87T,23,1
Panthers,11.4,55,624,1,6,1,84T,17,3
Patriots,11.3,52,588,1,8,2,60T,9,3
Redskins,11.2,23,258,0,4,1,71,16,0
Colts,10.9,41,447,0,6,1,82,15,1
Seahawks,10.4,34,352,1,2,1,88T,15,0
Jaguars,10.3,34,351,0,5,2,60,13,3
Falcons,10.2,31,315,0,6,0,39,10,3
Bills,9.8,43,423,0,4,1,45,15,3
Dolphins,9.6,26,251,0,0,0,19,25,4
Oilers,9.6,29,279,0,4,1,40,18,3
Raiders,9.6,42,403,0,4,1,47,24,6
Ravens,9.4,38,357,0,4,1,46,14,2
Vikings,9.4,32,300,1,1,1,69T,31,3
Bears,9.1,31,282,0,1,0,34,19,0
49ers,9,39,352,0,3,1,52,21,3
Cowboys,9,44,394,0,3,0,22,11,0
Cardinals,8.8,39,343,0,4,0,35,9,5
Chiefs,8.6,33,282,0,2,0,24,16,2
Lions,8.4,34,284,0,4,0,33,19,0
Eagles,8.2,40,330,0,3,1,56,17,2
Bengals,6.6,33,217,0,2,1,62,8,4
Steelers,6.3,40,251,0,2,0,33,12,3
Saints,5.1,31,159,0,0,0,16,20,2
Jets,5,28,139,0,0,0,15,16,4
