Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Panthers,241,150,62.2,5.5,1335,8,4,81.2,73,30.3,12,1,47T,19,155
Vikings,235,158,67.2,7.1,1679,14,4,100.6,81,34.5,23,3,62T,15,97
Bengals,233,147,63.1,5.3,1230,7,4,79.5,65,27.9,7,2,63T,14,111
Chiefs,230,156,67.8,7.1,1624,11,7,91.3,76,33,18,2,54,6,41
Rams,227,139,61.2,7.4,1677,6,5,83.5,82,36.1,24,3,49,16,124
Colts,222,140,63.1,6.6,1459,6,4,83.5,70,31.5,20,4,45T,15,87
Saints,220,143,65,6.5,1425,5,4,83.2,65,29.6,17,5,51,19,125
Patriots,219,136,62.1,5.9,1287,5,7,72.6,56,25.6,10,2,58T,14,93
Texans,214,128,59.8,7.8,1666,10,1,98,78,36.4,25,4,68,13,115
Commanders,214,145,67.8,7,1500,9,6,90.1,71,33.2,18,1,41,34,215
Jaguars,213,144,67.6,6.8,1447,7,3,91.8,70,32.9,16,1,45,16,104
Eagles,213,141,66.2,7.2,1542,7,7,84.7,68,31.9,19,5,63T,14,72
Bills,205,147,71.7,7.7,1576,13,6,102.8,77,37.6,16,5,55T,9,36
Falcons,204,131,64.2,6.9,1402,6,6,81.8,72,35.3,17,1,45,19,130
Lions,203,141,69.5,8,1618,11,3,105.1,77,37.9,29,2,45T,10,61
Giants,202,139,68.8,5.8,1176,2,6,74.6,56,27.7,13,1,58,33,176
Dolphins,200,142,71,9.7,1943,15,6,114.2,94,47,26,7,69,6,42
Raiders,196,130,66.3,7.2,1419,7,9,80.3,70,35.7,13,1,48T,15,106
Cardinals,196,123,62.8,6.2,1215,6,3,84,63,32.1,12,2,69,11,71
Cowboys,195,136,69.7,7,1361,6,4,91,67,34.4,18,2,60,15,100
Broncos,185,122,66,7,1305,12,4,99,55,29.7,19,5,60T,19,103
Jets,183,110,60.1,6,1097,4,5,73,50,27.3,13,1,68T,20,140
Chargers,183,126,68.8,7.6,1382,10,2,104.6,64,35,22,3,51T,10,87
Bears,176,110,62.5,7.3,1284,11,7,88.8,60,34.1,22,2,58,25,153
Ravens,173,121,69.9,7.2,1253,5,3,93,55,31.8,18,2,52,16,87
Browns,172,102,59.3,5.8,991,4,7,66.3,45,26.2,9,2,58T,18,127
Seahawks,170,113,66.5,7.2,1232,5,3,90.1,58,34.1,15,1,51,11,93
Titans,165,103,62.4,7.3,1204,3,6,75.4,51,30.9,18,5,70T,23,165
Steelers,164,98,59.8,6.4,1045,5,4,78.4,40,24.4,14,3,72T,14,106
49ers,164,111,67.7,8.5,1397,10,1,111.8,71,43.3,20,3,42,11,59
Buccaneers,163,106,65,6.7,1088,7,3,90.7,54,33.1,15,2,70,5,25
Packers,162,90,55.6,6.7,1083,8,6,77.3,49,30.2,12,3,77,10,83
