Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,203,869,4.3,9,3,0,26T,53,26.1,2
Eagles,201,900,4.5,7,4,1,43,61,30.4,2
49ers,198,890,4.5,12,4,2,65,51,25.8,3
Lions,187,745,4,9,3,2,42T,44,23.5,2
Cowboys,182,718,4,5,4,1,46T,41,22.5,2
Jaguars,181,681,3.8,7,5,0,35T,38,21,1
Falcons,178,714,4,4,4,0,38,44,24.7,2
Bears,170,816,4.8,3,5,0,34,44,25.9,2
Dolphins,168,1091,6.5,15,12,7,76T,47,28,7
Saints,168,575,3.4,3,0,0,19,36,21.4,2
Texans,167,533,3.2,1,0,0,17,27,16.2,2
Colts,166,700,4.2,8,5,1,56T,37,22.3,3
Browns,165,735,4.4,4,5,2,69,41,24.8,3
Chiefs,165,711,4.3,4,3,1,48T,47,28.5,1
Bills,162,709,4.4,7,4,0,36,46,28.4,2
Cardinals,161,846,5.2,5,12,3,45,40,24.8,3
Giants,158,593,3.8,3,1,0,34T,33,20.9,2
Rams,153,649,4.2,7,4,0,31,38,24.8,1
Raiders,148,441,3,3,2,0,34,28,18.9,2
Patriots,147,502,3.4,3,0,0,18,34,23.1,1
Titans,145,662,4.6,5,4,1,63,33,22.8,1
Panthers,144,588,4.1,2,2,0,26,36,25,3
Chargers,136,532,3.9,5,3,2,55,32,23.5,0
Jets,135,705,5.2,3,4,3,83T,32,23.7,5
Buccaneers,133,394,3,1,0,0,14,20,15,0
Broncos,129,636,4.9,1,4,0,38,36,27.9,2
Seahawks,124,521,4.2,6,3,0,36,32,25.8,0
Commanders,124,527,4.2,5,3,0,27,36,29,2
Bengals,121,419,3.5,1,1,0,22,26,21.5,0
Steelers,117,402,3.4,0,3,0,24,24,20.5,1
Packers,116,408,3.5,4,3,0,26,25,21.6,2
Vikings,113,450,4,0,0,0,17,20,17.7,4
