Team,Rsh TD,Rec TD,Tot TD,2-PT
Dolphins,15,15,30,0
49ers,12,10,22,0
Ravens,9,5,14,1
Lions,9,11,21,0
Colts,8,6,14,2
Bills,7,13,21,0
Jaguars,7,7,15,1
Rams,7,6,13,0
Eagles,7,7,15,1
Seahawks,6,5,13,1
Cowboys,5,6,14,2
Titans,5,3,8,0
Cardinals,5,6,11,1
Chargers,5,10,15,1
Commanders,5,9,15,2
Falcons,4,6,10,1
Browns,4,4,8,3
Packers,4,8,13,2
Chiefs,4,11,15,0
Bears,3,11,14,1
Raiders,3,7,10,1
Patriots,3,5,8,0
Saints,3,5,10,0
Giants,3,2,6,0
Jets,3,4,8,2
Panthers,2,8,12,1
Bengals,1,7,10,0
Broncos,1,12,14,2
Texans,1,10,12,0
Buccaneers,1,7,9,1
Vikings,0,14,14,0
Steelers,0,5,6,0
