Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Giants,92,36,14,8,56,40.3,33,20.9,393
Saints,90,34,5,2,65,45.4,36,21.4,407
Texans,88,39,7,3,78,60.9,27,16.2,394
Patriots,88,31,10,2,56,41.2,34,23.1,380
Ravens,87,40,4,1,55,45.4,53,26.1,392
Eagles,87,44,10,6,68,48.2,61,30.4,428
Cowboys,86,41,7,2,67,49.3,41,22.5,392
Colts,86,33,15,5,70,50,37,22.3,403
Panthers,85,34,12,4,73,48.7,36,25,404
Lions,83,35,10,5,77,54.6,44,23.5,400
Jaguars,83,30,9,3,70,48.6,38,21,410
Rams,83,35,8,6,82,59,38,24.8,396
Bengals,81,27,7,2,65,44.2,26,21.5,368
Chiefs,81,39,4,2,76,48.7,47,28.5,401
Falcons,80,30,9,4,72,55,44,24.7,401
Bears,79,32,9,4,60,54.6,44,25.9,371
Cardinals,76,31,11,4,63,51.2,40,24.8,368
Bills,75,37,5,3,77,52.4,46,28.4,376
Vikings,73,25,13,9,81,51.3,20,17.7,363
Steelers,73,27,4,1,40,40.8,24,20.5,295
Browns,72,22,5,3,45,44.1,41,24.8,355
Jets,72,18,5,3,50,45.4,32,23.7,338
Titans,71,24,5,3,51,49.5,33,22.8,333
Raiders,71,26,7,6,70,53.8,28,18.9,359
Commanders,70,24,6,4,71,49,36,29,372
Buccaneers,69,29,4,3,54,50.9,20,15,301
Chargers,68,26,10,6,64,50.8,32,23.5,329
Broncos,66,26,4,2,55,45.1,36,27.9,333
Packers,66,27,8,4,49,54.4,25,21.6,288
49ers,66,29,3,2,71,64,51,25.8,373
Dolphins,59,26,7,2,94,66.2,47,28,374
Seahawks,57,18,6,2,58,51.3,32,25.8,305
