Team,INT,INT TD,INT Yds,Lng
49ers,11,0,178,32
Jaguars,9,2,148,61
Bills,8,1,74,32T
Bengals,8,1,55,24
Cowboys,8,2,126,54T
Saints,8,1,42,27T
Jets,8,0,58,45
Ravens,6,0,148,52
Bears,6,1,81,42T
Lions,6,1,101,50T
Colts,6,0,44,34
Steelers,6,1,54,30T
Buccaneers,6,1,52,26T
Panthers,5,2,202,99
Broncos,5,0,25,14
Chiefs,5,0,41,16
Raiders,5,0,69,25
Vikings,5,0,46,37
Cardinals,5,0,38,35
Commanders,5,0,26,23
Falcons,4,0,7,4
Packers,4,1,65,37T
Texans,4,0,33,33
Giants,4,1,120,102T
Chargers,4,0,17,9
Seahawks,4,2,158,97
Browns,3,0,34,20
Rams,3,0,0,0
Dolphins,3,1,27,22T
Patriots,3,0,1,1
Eagles,3,1,86,70T
Titans,2,0,20,10
