Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Ka'imi Fairbairn,37,42,88.1,1/1,9/9,11/11,12/15,4/6,0/0,54,0
Justin Tucker,35,39,89.7,0/0,12/12,9/9,9/11,5/6,0/1,56,2
Robbie Gould,33,34,97.1,0/0,9/9,13/13,9/10,2/2,0/0,53,0
Jason Myers,33,36,91.7,0/0,4/4,13/14,10/11,6/7,0/0,56,0
Aldrick Rosas,32,33,97,0/0,9/9,13/13,6/6,4/5,0/0,57,0
Mason Crosby,30,37,81.1,0/0,4/4,10/11,11/15,5/7,0/0,53,0
Brett Maher,29,36,80.6,0/0,10/10,6/8,7/11,5/6,1/1,62,1
Wil Lutz,28,30,93.3,1/1,5/5,9/9,11/12,2/3,0/0,54,1
Matt Prater,28,32,87.5,0/0,8/8,12/12,5/7,3/5,0/0,54,0
Stephen Gostkowski,27,32,84.4,0/0,11/11,10/10,4/6,2/5,0/0,52,0
Greg Zuerlein,27,31,87.1,0/0,9/9,10/10,4/6,4/6,0/0,56,0
Jake Elliott,26,31,83.9,0/0,7/7,10/11,7/8,2/5,0/0,56,0
Dustin Hopkins,26,29,89.7,0/0,5/5,7/7,10/12,4/4,0/1,56,0
Ryan Succop,26,30,86.7,0/0,5/6,13/13,5/7,3/4,0/0,54,0
Harrison Butker,24,27,88.9,0/0,9/9,7/7,6/7,2/4,0/0,54,0
Cody Parkey,23,30,76.7,0/0,6/6,7/10,9/12,1/2,0/0,50,0
Adam Vinatieri,23,27,85.2,0/0,8/8,6/7,5/6,4/6,0/0,54,0
Steven Hauschka,22,28,78.6,0/0,3/3,8/8,7/10,4/7,0/0,54,1
Sebastian Janikowski,22,27,81.5,0/0,2/2,9/11,8/9,3/5,0/0,56,0
Dan Bailey,21,28,75,0/0,5/6,11/11,4/9,1/2,0/0,52,1
Matt Bryant,20,21,95.2,0/0,4/4,5/5,7/7,4/5,0/0,57,0
Brandon McManus,20,25,80,0/0,5/5,6/6,7/7,2/6,0/1,53,0
Randy Bullock,19,23,82.6,0/0,4/4,7/8,6/6,2/5,0/0,51,2
Josh Lambo,19,21,90.5,0/0,4/4,8/8,3/4,4/5,0/0,57,0
Jason Sanders,18,20,90,0/0,7/7,3/3,7/9,1/1,0/0,50,0
Daniel Carlson,17,21,81,0/0,2/2,3/4,9/12,3/3,0/0,50,0
Greg Joseph,17,20,85,0/0,4/4,7/7,5/7,1/2,0/0,51,0
Chandler Catanzaro,16,20,80,0/0,4/4,9/10,0/3,3/3,0/0,59,0
Mike Badgley,15,16,93.8,0/0,4/4,5/5,5/5,1/2,0/0,59,0
Graham Gano,14,16,87.5,0/0,3/3,4/5,4/4,2/3,1/1,63,0
Cairo Santos,14,18,77.8,1/1,4/4,6/6,3/6,0/1,0/0,45,0
Chris Boswell,13,20,65,0/0,3/3,4/6,5/10,1/1,0/0,50,1
Zane Gonzalez,9,14,64.3,0/0,1/1,4/4,2/4,2/5,0/0,55,1
Caleb Sturgis,9,13,69.2,0/0,4/4,2/2,3/6,0/1,0/0,49,0
Matt McCrane,8,12,66.7,0/0,3/3,2/2,3/5,0/2,0/0,47,0
Mike Nugent,6,6,100,0/0,3/3,0/0,2/2,1/1,0/0,52,0
Phil Dawson,5,8,62.5,0/0,2/2,2/2,1/3,0/1,0/0,43,0
Giorgio Tavecchio,5,5,100,0/0,1/1,0/0,2/2,2/2,0/0,56,0
Kai Forbath,4,5,80,0/0,2/2,1/1,1/1,0/1,0/0,41,0
Sam Ficken,1,3,33.3,0/0,0/1,1/1,0/1,0/0,0/0,34,0
Johnny Hekker,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,20,0
