Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Keenan Allen,102,1175,7,18,1,42,51,50,2,381,138
Tyreek Hill,93,1481,12,24,9,78,66,71,1,604,127
CeeDee Lamb,90,1182,7,23,1,49,54,60,2,406,121
Michael Pittman,87,889,4,6,2,75,40,46,1,400,127
Ja'Marr Chase,86,1063,7,11,4,76,55,64,1,506,124
Amon-Ra St. Brown,84,1042,6,16,2,46,51,60.7,1,410,115
Stefon Diggs,83,969,8,9,2,55,47,56.6,2,319,121
A.J. Brown,81,1164,7,19,3,59,53,65.4,0,394,118
T.J. Hockenson,80,786,5,11,0,29,42,52.5,1,283,108
Adam Thielen,80,753,4,7,0,31,45,56.2,1,266,106
Puka Nacua,77,1029,4,19,1,70,49,63.6,1,406,118
Travis Kelce,74,813,5,9,2,53,42,56.8,1,356,93
Evan Engram,73,606,1,7,0,34,25,34.2,2,369,91
DJ Moore,70,1003,6,16,2,58,47,67.1,1,444,93
Davante Adams,69,814,4,9,2,46,42,60.9,0,233,118
Chris Olave,68,890,3,14,3,51,42,61.8,0,285,111
Garrett Wilson,67,745,3,8,2,68,33,49.2,2,222,120
Sam LaPorta,64,679,6,7,2,48,32,50,0,271,86
DeVonta Smith,64,834,6,11,3,63,38,59.4,0,203,87
Mike Evans,61,1012,10,17,6,75,41,67.2,0,260,103
Alvin Kamara,60,413,1,3,0,25,21,35,0,428,69
Terry McLaurin,60,694,2,10,0,36,34,56.7,0,204,100
Nico Collins,59,991,6,20,4,59,39,66.1,0,422,85
Tyler Lockett,59,622,4,4,0,36,34,57.6,0,155,87
Zay Flowers,58,613,2,9,3,52,28,48.3,0,282,80
Christian Kirk,57,787,3,13,3,57,34,59.6,2,247,85
Jaylen Waddle,57,743,3,9,0,35,38,66.7,0,313,82
Dalton Kincaid,56,474,2,2,0,22,22,39.3,1,235,64
Cole Kmet,56,482,5,4,0,24,28,50,1,239,68
Trey McBride,56,610,2,6,0,33,32,57.1,0,292,74
