Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Raiders,418,4689,11.2,26,48,8,75T,226,54.1,4
Rams,408,4480,11,24,56,7,58T,219,53.7,6
Colts,392,4200,10.7,27,51,11,69,213,54.3,10
Bills,377,4364,11.6,24,45,13,73,218,57.8,4
Patriots,374,3767,10.1,28,37,3,49,184,49.2,5
Packers,361,3823,10.6,29,42,7,85,197,54.6,5
Seahawks,361,4257,11.8,19,45,8,83,208,57.6,9
Broncos,359,4139,11.5,21,43,10,82,199,55.4,1
49ers,354,3576,10.1,23,32,7,76,182,51.4,3
Bengals,350,3732,10.7,17,32,5,72,186,53.1,1
Steelers,350,4036,11.5,26,51,8,72,199,56.9,6
Buccaneers,348,3665,10.5,23,37,6,76,172,49.4,5
Browns,338,3665,10.8,27,47,10,78,171,50.6,3
Giants,338,4103,12.1,19,61,4,82,195,57.7,9
Vikings,337,3951,11.7,19,50,10,61T,191,56.7,5
Jets,329,3619,11,25,44,3,47T,190,57.8,4
Chargers,324,3368,10.4,17,42,5,52,166,51.2,6
Eagles,318,3606,11.3,27,49,7,59,164,51.6,7
Bears,310,3316,10.7,22,48,7,76,156,50.3,2
Titans,306,3441,11.2,22,35,6,55,182,59.5,5
Redskins,300,3523,11.7,24,36,7,62,165,55,7
Chiefs,292,3763,12.9,27,47,13,99,179,61.3,0
Saints,291,3685,12.7,27,48,13,64,169,58.1,5
Cardinals,291,3038,10.4,18,30,3,80,148,50.9,1
Lions,277,3168,11.4,19,40,10,64,150,54.2,1
Dolphins,271,3069,11.3,18,38,5,77T,155,57.2,6
Falcons,268,3384,12.6,18,48,9,74,163,60.8,5
Jaguars,268,3019,11.3,18,30,6,79,156,58.2,1
Ravens,262,3118,11.9,20,40,5,77,145,55.3,2
Panthers,255,2981,11.7,15,51,6,69T,133,52.2,3
Cowboys,252,3020,12,14,34,10,80,129,51.2,5
Texans,235,2636,11.2,11,32,5,81T,119,50.6,1
