Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Keenan Allen,97,1117,7,18,1,42,49,50.5,2,372,129
Tyreek Hill,88,1324,10,21,7,69,62,70.4,1,524,120
Stefon Diggs,83,969,8,9,2,55,47,56.6,2,319,121
Amon-Ra St. Brown,82,993,5,14,2,46,49,59.8,1,384,109
T.J. Hockenson,80,786,5,11,0,29,42,52.5,1,283,108
CeeDee Lamb,78,1066,6,22,1,49,48,61.5,2,373,104
Adam Thielen,77,728,4,7,0,31,43,55.8,1,263,100
Michael Pittman,76,784,3,6,2,75,34,44.7,1,354,111
Ja'Marr Chase,75,914,6,10,3,64,50,66.7,1,417,112
A.J. Brown,73,1050,7,18,3,59,48,65.8,0,332,105
Puka Nacua,73,924,3,17,0,37,46,63,1,349,111
Travis Kelce,70,732,5,6,2,53,38,54.3,1,320,88
DJ Moore,70,1003,6,16,2,58,47,67.1,1,444,93
Davante Adams,69,814,4,9,2,46,42,60.9,0,233,118
Evan Engram,64,524,0,5,0,34,21,32.8,2,321,82
Garrett Wilson,64,695,3,7,2,68,30,46.9,2,215,113
Chris Olave,63,771,3,10,3,51,38,60.3,0,249,103
Terry McLaurin,60,694,2,10,0,36,34,56.7,0,204,97
Zay Flowers,58,613,2,9,3,52,28,48.3,0,282,80
Dalton Kincaid,56,474,2,2,0,22,22,39.3,1,231,64
Christian Kirk,56,761,3,12,3,57,33,58.9,2,245,84
Cole Kmet,56,482,5,4,0,24,28,50,1,239,68
Sam LaPorta,55,539,5,5,1,45,27,49.1,0,214,77
DeVonta Smith,55,738,5,10,3,63,30,54.6,0,168,76
Jordan Addison,54,686,7,10,2,62,29,53.7,0,183,81
Mike Evans,54,850,9,15,4,70,36,66.7,0,183,91
Alvin Kamara,54,355,1,3,0,25,17,31.5,0,374,61
Tyler Lockett,54,575,4,4,0,36,31,57.4,0,145,79
Chris Godwin,53,606,1,7,1,42,33,62.3,0,217,82
Jakobi Meyers,52,591,6,5,0,33,33,63.5,0,159,76
Jaylen Waddle,52,691,3,9,0,35,36,69.2,0,284,74
Marquise Brown,51,574,4,8,1,41,32,62.8,0,164,98
David Njoku,51,492,2,4,1,41,22,43.1,1,369,78
Tyler Boyd,50,462,2,3,1,64,20,40,0,196,72
Nico Collins,50,800,5,17,2,52,34,68,0,350,73
Josh Downs,48,566,2,8,1,59,24,50,0,257,73
Trey McBride,48,521,1,6,0,33,27,56.2,0,244,65
Christian McCaffrey,48,389,5,2,0,35,23,47.9,1,345,58
Courtland Sutton,48,560,8,10,0,33,28,58.3,3,100,68
Amari Cooper,47,765,2,13,4,59,33,70.2,1,153,86
Tank Dell,47,709,7,10,3,68,34,72.3,0,152,75
Calvin Ridley,47,663,5,13,1,45,30,63.8,1,123,76
Curtis Samuel,47,443,2,4,0,37,20,42.6,0,203,63
George Kittle,46,667,5,11,1,66,29,63,0,306,61
Brandon Aiyuk,45,881,5,19,2,76,40,88.9,0,234,65
Mark Andrews,45,544,6,8,0,38,27,60,1,217,61
DeAndre Hopkins,45,699,4,10,3,61,32,71.1,0,149,83
Drake London,45,565,2,10,0,32,32,71.1,0,134,68
Logan Thomas,45,424,3,3,0,29,20,44.4,2,215,62
Rashee Rice,44,527,5,6,0,39,25,56.8,0,358,56
DK Metcalf,43,678,3,10,3,53,33,76.7,0,199,80
Elijah Moore,43,418,1,4,0,33,19,44.2,1,140,73
Rachaad White,43,364,1,6,1,43,15,34.9,1,428,46
Jahan Dotson,42,435,4,4,0,33,21,50,0,91,69
Romeo Doubs,41,433,7,3,0,30,28,68.3,0,87,69
Jahmyr Gibbs,41,278,0,2,0,24,17,41.5,0,248,52
Jake Ferguson,40,421,4,5,1,40,22,55,0,199,58
George Pickens,40,662,3,14,3,71,26,65,1,210,73
Dalton Schultz,40,455,5,7,0,31,24,60,1,174,61
Tyler Conklin,39,414,0,4,0,37,15,38.5,0,175,50
Gabe Davis,39,595,6,9,1,40,29,74.4,1,145,67
Tony Pollard,39,233,0,2,1,60,8,20.5,2,243,46
Michael Thomas,39,448,1,4,0,31,21,53.8,0,100,64
Dallas Goedert,38,410,2,4,1,49,23,60.5,0,222,52
Breece Hall,38,320,2,4,1,50,15,39.5,0,348,49
Cade Otton,38,348,3,3,0,27,16,42.1,1,174,50
Jaxon Smith-Njigba,38,406,2,5,0,35,17,44.7,0,233,57
Kendrick Bourne,37,406,4,5,0,36,15,40.5,1,203,55
Jerry Jeudy,37,440,1,5,1,46,20,54,1,151,53
Kyle Pitts,37,441,1,4,0,39,22,59.5,0,102,60
Rhamondre Stevenson,37,238,0,2,0,34,8,21.6,0,261,50
Jaylen Warren,37,247,0,2,0,30,12,32.4,0,324,45
Tutu Atwell,36,467,3,8,2,44,24,66.7,0,93,60
Demario Douglas,36,410,0,5,1,42,18,50,1,262,55
