Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,939,193,11,4,2,65,56,29,2
Raheem Mostert,785,151,13,7,2,49,42,27.8,2
Josh Jacobs,771,220,6,3,2,63,33,15,2
D'Andre Swift,770,161,4,6,1,43,36,22.4,2
Derrick Henry,739,176,6,3,1,63,38,21.6,0
James Cook,731,153,1,4,1,42,36,23.5,1
Travis Etienne,726,194,7,5,0,35,38,19.6,0
Bijan Robinson,703,141,3,4,0,38,38,27,2
Saquon Barkley,697,165,1,6,0,36,31,18.8,1
Zack Moss,672,141,5,6,2,56,34,24.1,0
Isiah Pacheco,669,158,5,3,1,48,40,25.3,0
Tony Pollard,669,160,4,6,0,31,33,20.6,1
David Montgomery,648,133,9,3,2,75,35,26.3,2
Jerome Ford,628,145,3,4,2,69,24,16.6,1
Joe Mixon,621,161,4,2,0,22,38,23.6,0
Kenneth Walker III,613,149,6,5,1,45,28,18.8,0
Brian Robinson,611,153,5,3,0,29,39,25.5,2
Kyren Williams,599,113,6,5,1,56,32,28.3,1
Najee Harris,598,143,4,7,0,25,29,20.3,1
Alexander Mattison,594,158,0,1,0,21,24,15.2,2
Gus Edwards,590,141,10,4,1,42,38,27,0
Rhamondre Stevenson,580,147,4,1,1,64,33,22.4,0
Lamar Jackson,574,112,5,2,0,26,36,32.1,4
Breece Hall,569,124,2,4,3,83,19,15.3,2
Jahmyr Gibbs,566,109,5,6,0,35,25,22.9,0
Rachaad White,559,156,4,1,0,38,28,18,0
Jaylen Warren,542,93,3,4,1,74,26,28,2
Javonte Williams,538,140,0,1,0,21,23,16.4,0
James Conner,526,104,2,5,0,35,26,25,0
Devin Singletary,489,120,2,2,0,22,18,15,0
Tyler Allgeier,466,135,3,1,0,22,29,21.5,0
De'Von Achane,461,39,5,6,4,76,15,38.5,1
Alvin Kamara,457,119,2,0,0,17,27,22.7,0
Chuba Hubbard,453,118,2,2,0,21,29,24.6,0
AJ Dillon,448,131,1,1,1,40,23,17.6,0
Austin Ekeler,428,112,4,3,1,55,18,16.1,1
Jonathan Taylor,414,100,4,2,1,42,24,24,0
Jalen Hurts,410,114,11,1,0,24,49,43,3
Joshua Dobbs,400,72,6,6,1,44,29,40.3,7
Justin Fields,400,77,1,2,0,29,24,31.2,2
D'Onta Foreman,381,92,4,1,0,22,22,23.9,1
