Team,INT,INT TD,INT Yds,Lng
Cowboys,26,5,405,66
Patriots,23,3,322,88
Bills,19,1,238,26T
Colts,19,0,175,32
Rams,19,0,192,34
Packers,18,2,164,55T
Saints,18,2,313,53T
Texans,17,1,295,82T
Buccaneers,17,2,177,31T
Titans,16,2,128,24
Vikings,16,2,256,66
Chiefs,15,2,160,75
Giants,15,1,135,41T
Dolphins,14,3,175,85
Bengals,13,1,266,65
Browns,13,1,148,99T
Broncos,13,1,221,70T
Cardinals,13,1,247,77T
Steelers,13,0,105,41
Falcons,12,2,202,66
Eagles,12,2,142,51
Lions,11,0,108,50
Chargers,11,0,70,26
Seahawks,11,0,92,29
Football Team,11,2,120,31
Ravens,9,1,38,21T
Panthers,9,0,103,29
49ers,9,2,136,40
Bears,8,1,135,53T
Jaguars,7,0,57,23
Jets,7,1,114,32
Raiders,6,0,68,35
