Team,FF,FR,FR TD
49ers,22,11,0
Cardinals,21,14,1
Chargers,19,10,1
Colts,18,14,1
Chiefs,18,13,2
Steelers,18,8,0
Bengals,17,8,1
Texans,16,7,0
Buccaneers,16,12,0
Rams,15,6,0
Falcons,14,8,0
Panthers,14,7,0
Bears,14,8,1
Dolphins,14,12,2
Cowboys,13,8,1
Titans,13,6,1
Raiders,13,9,0
Vikings,13,8,0
Saints,13,7,0
Jets,13,7,0
Eagles,13,4,3
Bills,12,11,0
Browns,12,6,1
Giants,12,7,0
Patriots,11,6,0
Lions,10,8,0
Packers,10,8,0
Jaguars,9,2,0
Seahawks,9,7,0
Football Team,9,7,0
Ravens,8,6,0
Broncos,6,6,0
