Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Falcons,0,0,0,0,192,59.8,118,24,1054
Bills,0,0,0,0,174,54.9,98,23.6,1023
Bears,0,0,0,0,135,52.9,156,26.8,1082
Bengals,0,0,0,0,179,61.7,127,23.4,1039
Browns,0,0,0,0,184,56.8,115,24.7,1064
Cowboys,0,0,0,0,207,59.8,109,21,1112
Broncos,0,0,0,0,156,61.4,101,21.4,1025
Lions,0,0,0,0,158,60.1,135,26.3,1060
Packers,0,0,0,0,212,68.2,99,22.6,1008
Oilers,0,0,0,0,155,59.6,119,23.7,1034
Colts,0,0,0,0,109,58,146,24.3,1023
Chiefs,0,0,0,0,208,56.4,83,21.4,1073
Rams,0,0,0,0,150,52.4,150,29.4,1023
Raiders,0,0,0,0,182,60.5,142,26.2,1101
Dolphins,0,0,0,0,149,58.7,135,23.8,1034
Vikings,0,0,0,0,170,54.8,113,24,1069
Patriots,0,0,0,0,139,63.2,130,24.2,993
Saints,0,0,0,0,136,56,135,22.7,1057
Giants,0,0,0,0,164,57.8,105,20.8,1131
Jets,0,0,0,0,173,52.4,124,26.2,1074
Eagles,0,0,0,0,149,59.1,92,22.9,945
Cardinals,0,0,0,0,147,55.1,122,23.2,1043
Steelers,0,0,0,0,141,66.8,157,25.6,1073
Chargers,0,0,0,0,232,62.9,108,25.5,1087
49ers,0,0,0,0,201,59.3,127,24.8,1072
Seahawks,0,0,0,0,155,61.8,129,23.6,1038
Buccaneers,0,0,0,0,158,52.7,73,17.1,1004
Redskins,0,0,0,0,174,62.6,166,26.4,1127
