Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Chiefs,369,4684,12.7,29,69,14,53T,208,56.4,7
Chargers,369,4891,13.2,27,82,7,59,232,62.9,9
Cowboys,346,4156,12,31,46,11,80,207,59.8,4
49ers,339,4021,11.9,27,49,8,77,201,59.3,10
Jets,330,3742,11.3,21,39,5,64,173,52.4,5
Browns,324,3932,12.1,27,63,6,66,184,56.8,6
Falcons,321,3793,11.8,24,45,10,76,192,59.8,9
Bills,317,3438,10.8,30,40,3,43,174,54.9,3
Packers,311,4688,15.1,33,74,16,75,212,68.2,5
Vikings,310,3514,11.3,15,38,6,68,170,54.8,7
Raiders,301,3910,13,31,41,9,99,182,60.5,8
Buccaneers,300,3490,11.6,18,33,11,80,158,52.7,7
Bengals,290,3492,12,14,47,8,80T,179,61.7,6
Rams,286,3411,11.9,23,41,9,61,150,52.4,4
Giants,284,3854,13.6,12,59,12,62,164,57.8,2
Redskins,278,3765,13.5,29,53,9,84,174,62.6,2
Cardinals,267,3309,12.4,29,51,7,71,147,55.1,9
Lions,263,3297,12.5,19,36,9,80,158,60.1,6
Oilers,260,3286,12.6,16,46,7,66,155,59.6,2
Bears,255,3461,13.6,21,49,12,87,135,52.9,5
Broncos,254,3466,13.6,17,57,9,78,156,61.4,6
Dolphins,254,3235,12.7,28,37,9,85,149,58.7,3
Eagles,252,3532,14,22,53,12,83,149,59.1,4
Seahawks,251,3316,13.2,25,51,8,50,155,61.8,5
Saints,243,2782,11.4,14,39,2,48,136,56,2
Patriots,220,3040,13.8,16,44,7,76,139,63.2,6
Steelers,211,2754,13,15,40,6,52,141,66.8,6
Colts,188,2663,14.2,12,42,6,72,109,58,1
