Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Redskins,629,2625,4.2,30,9,3,48,166,26.4,8
Steelers,614,2610,4.2,17,10,1,50T,157,25.6,22
Colts,601,2695,4.5,10,17,1,56T,146,24.3,16
Saints,595,2461,4.1,19,9,3,76T,135,22.7,20
Bears,583,2727,4.7,14,16,1,49T,156,26.8,16
Dolphins,568,2150,3.8,16,5,2,44,135,23.8,17
Seahawks,546,2119,3.9,19,9,1,60,129,23.6,18
Bengals,542,2104,3.9,24,2,0,29T,127,23.4,16
Raiders,542,2240,4.1,18,6,0,32,142,26.2,18
Patriots,538,2605,4.8,19,14,3,77T,130,24.2,23
Cardinals,525,2277,4.3,15,9,2,46,122,23.2,23
Cowboys,519,2117,4.1,21,13,2,77T,109,21,12
Lions,513,2181,4.2,18,9,2,41T,135,26.3,20
Rams,511,2253,4.4,20,14,4,85,150,29.4,22
49ers,511,2257,4.4,17,9,1,71,127,24.8,16
Giants,506,1794,3.6,9,2,0,37T,105,20.8,17
Oilers,502,1998,4,16,8,2,80T,119,23.7,7
Falcons,492,2224,4.5,17,11,1,40T,118,24,12
Jets,474,2068,4.4,11,6,3,78T,124,26.2,12
Broncos,471,1784,3.8,15,9,1,52T,101,21.4,14
Vikings,470,1808,3.8,17,13,4,56,113,24,10
Browns,465,1922,4.1,13,8,0,29,115,24.7,11
Packers,439,1807,4.1,15,8,2,71,99,22.6,22
Buccaneers,428,1353,3.2,9,3,1,75T,73,17.1,17
Chargers,423,1536,3.6,16,8,1,61T,108,25.5,18
Bills,415,1736,4.2,4,11,1,45,98,23.6,9
Eagles,402,1417,3.5,5,6,0,35,92,22.9,20
Chiefs,387,1254,3.2,13,4,1,49T,83,21.4,14
