Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Rob Bironas,35,39,89.7,0/0,10/12,12/12,9/10,0/0,0/0,56,0
Mason Crosby,31,39,79.5,1/1,8/8,10/11,9/14,3/5,0/0,53,1
Robbie Gould,31,36,86.1,0/0,7/7,12/13,12/14,0/2,0/0,49,2
Shayne Graham,31,34,91.2,1/1,11/12,13/13,6/7,0/1,0/0,48,0
Jason Hanson,29,35,82.9,1/1,4/5,10/12,11/13,3/4,0/0,53,2
Mike Nugent,29,36,80.6,1/1,11/11,10/12,6/8,1/4,0/0,50,0
Shaun Suisham,29,35,82.9,0/0,10/10,8/10,10/13,0/0,0/0,50,0
Josh Brown,28,34,82.4,0/0,12/12,5/5,8/12,3/5,0/0,54,1
Matt Bryant,28,33,84.8,0/0,11/12,11/11,6/7,0/3,0/0,49,0
Jason Elam,27,31,87.1,0/0,11/11,6/6,9/12,1/2,0/0,50,0
Matt Stover,27,32,84.4,1/1,11/11,7/7,8/12,0/0,0/0,49,1
Phil Dawson,26,30,86.7,2/2,9/10,7/8,7/8,1/2,0/0,51,2
Nick Folk,26,31,83.9,0/0,10/12,7/7,7/7,2/5,0/0,53,1
Morten Andersen,25,28,89.3,0/0,9/9,12/12,4/7,0/0,0/0,47,1
Kris Brown,25,29,86.2,1/1,6/7,6/6,7/10,5/5,0/0,57,1
David Akers,24,32,75,0/0,12/12,10/10,1/6,1/4,0/0,53,0
Nate Kaeding,24,27,88.9,0/0,11/11,5/6,7/8,1/2,0/0,51,1
John Kasay,24,28,85.7,2/2,6/6,8/9,6/9,2/2,0/0,53,0
Rian Lindell,24,27,88.9,0/0,11/11,7/7,4/6,2/3,0/0,52,0
Jeff Wilkins,24,32,75,0/0,7/8,6/7,8/13,0/0,0/0,53,0
Sebastian Janikowski,23,32,71.9,0/0,4/4,6/7,7/10,6/10,0/1,54,1
Jeff Reed,23,25,92,0/0,9/9,10/10,4/5,0/0,0/1,49,0
Lawrence Tynes,23,27,85.2,1/1,9/10,5/8,8/8,0/0,0/0,48,0
Adam Vinatieri,23,29,79.3,1/1,14/15,8/10,0/2,0/1,0/0,39,1
Jay Feely,21,23,91.3,0/0,7/7,6/6,7/9,1/1,0/0,53,0
Stephen Gostkowski,21,24,87.5,0/0,10/10,8/9,3/5,0/0,0/0,45,0
Neil Rackers,21,30,70,2/2,5/5,6/8,5/6,3/9,0/0,52,1
Ryan Longwell,20,24,83.3,0/0,3/3,6/6,10/11,1/4,0/0,55,1
Joe Nedney,17,19,89.5,1/1,5/5,6/6,4/4,1/3,0/0,50,0
Dave Rayner,15,22,68.2,0/0,3/3,7/10,5/8,0/1,0/0,49,1
John Carney,12,14,85.7,2/2,3/3,5/5,2/4,0/0,0/0,41,0
Josh Scobee,12,13,92.3,0/0,6/6,3/3,3/4,0/0,0/0,48,0
Olindo Mare,10,17,58.8,0/0,4/5,3/4,2/3,1/5,0/0,52,1
Martin Gramatica,5,5,100,0/0,0/0,2/2,2/2,1/1,0/0,55,0
Justin Medlock,1,2,50,0/0,1/1,0/1,0/0,0/0,0/0,27,0
Matt Prater,1,4,25,0/0,0/1,0/0,1/3,0/0,0/0,45,0
Michael Koenen,0,2,0,0/0,0/0,0/0,0/0,0/2,0/0,0,0
Kyle Larson,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
