Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Sean Morey,40,1,40,0,1,1,40,0,0
Willie Andrews,37.2,4,149,1,3,1,77,0,0
Josh Cribbs,30.7,59,1809,2,49,7,100,0,1
Andre Davis,30.2,32,968,3,22,4,104,0,0
Tim Dwight,30,1,30,0,1,0,30,0,0
Musa Smith,29.7,3,89,0,1,1,52,0,0
Jerome Mathis,29.1,11,320,1,7,1,84,0,0
Aundrae Allison,28.7,20,574,1,11,3,104,0,1
Mark Jones,28.6,10,286,0,9,0,36,0,0
B.J. Sams,28,5,140,0,4,1,47,0,0
Micheal Spurlock,27.8,16,444,1,12,2,90,0,0
Josh Wilson,27.5,14,385,1,9,2,89,0,1
Leon Washington,27.5,47,1291,3,35,5,98,0,2
Darren Sproles,27.2,37,1008,1,27,5,89,0,0
Courtney Taylor,27,1,27,0,1,0,27,0,0
Garrett Wolfe,27,1,27,0,1,0,27,0,0
Maurice Jones-Drew,26.2,31,811,1,18,4,100,0,0
Ellis Hobbs,26,35,911,1,24,3,108,0,1
Isaiah Stanback,26,3,78,0,2,0,35,0,0
Rock Cartwright,25.8,52,1339,0,42,2,80,0,0
Adrian Peterson,25.8,16,412,0,10,2,53,0,0
Miles Austin,25.5,24,612,0,18,1,60,0,0
Michael Robinson,25.5,2,51,0,1,0,30,0,0
Derek Stanley,25.4,20,509,0,17,2,49,0,1
Jerious Norwood,25.3,52,1317,0,37,4,76,0,0
Adam Jennings,25.2,17,428,0,15,1,61,0,0
Dante Hall,25.1,29,729,0,18,1,84,0,0
Wes Welker,25.1,7,176,0,5,0,33,0,0
Andre Hall,25,19,475,0,15,0,34,0,0
Aveion Cason,24.8,42,1041,0,27,2,74,0,1
Domenik Hixon,24.8,20,495,1,15,1,74,0,1
Yamon Figurs,24.7,46,1138,1,25,4,94,0,2
Antonio Chatman,24.5,2,49,0,1,0,34,0,0
Terrance Copper,24.5,2,49,0,2,0,25,0,0
Glenn Holt,24.3,59,1432,1,37,3,100,1,3
Ahmad Bradshaw,24.2,38,921,0,26,1,68,0,2
Terrence McGee,24,45,1082,1,25,4,103,0,0
Pierre Thomas,24,36,865,0,31,1,64,0,0
Charles Gordon,24,2,48,0,2,0,27,0,0
Justin Miller,24,2,48,0,2,0,26,0,1
Maurice Hicks,23.8,63,1502,0,43,4,55,0,2
Koren Robinson,23.8,25,596,0,15,3,67,0,0
Dexter Wynn,23.8,22,523,0,16,0,39,0,0
Alvin Pearman,23.7,3,71,0,2,0,33,0,0
Tyson Thompson,23.6,20,471,0,11,2,72,0,1
Kevin Faulk,23.5,2,47,0,2,0,27,0,0
Michael Griffin,23.4,18,422,0,12,1,48,0,1
Brian Clark,23.3,3,70,0,3,0,26,0,1
Allen Rossum,23.3,38,885,1,26,1,98,0,0
Michael Turner,23.2,6,139,0,5,0,28,0,0
Brandon Williams,23.1,22,508,0,17,0,37,0,0
T.J. Rushing,23,31,714,0,20,1,47,0,1
Dre' Bly,23,1,23,0,1,0,23,0,0
