Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Stephen Gostkowski,112,7220,2030,15,13.4,92,22.1,0,0,3,1
Nick Folk,94,5887,1979,4,4.3,86,23,1,1,2,1
Mason Crosby,93,5857,1610,14,15,77,20.9,2,0,1,0
Adam Vinatieri,91,5915,2029,9,9.9,81,25,0,0,1,3
Josh Brown,87,5509,1746,13,14.9,70,24.9,3,0,1,0
Shayne Graham,86,5310,1709,8,9.3,75,22.8,0,0,2,0
Jeff Reed,86,5284,1647,10,11.6,73,22.6,2,1,1,1
Phil Dawson,85,5221,1590,5,5.9,76,20.9,0,0,2,0
Kris Brown,84,5295,1593,11,13.1,69,23.1,4,1,0,0
Jason Hanson,82,5331,1730,13,15.8,64,27,2,0,3,2
Lawrence Tynes,82,5064,1580,8,9.8,68,23.2,2,0,4,1
Neil Rackers,80,5164,1378,17,21.2,59,23.4,3,3,0,0
Robbie Gould,79,4698,1370,3,3.8,71,19.3,3,0,4,1
David Akers,78,4824,1536,6,7.7,69,22.3,2,1,1,0
Matt Bryant,78,4683,1328,6,7.7,67,19.8,4,2,1,1
Ryan Longwell,77,4834,1401,9,11.7,63,22.2,3,1,2,0
Shaun Suisham,76,4436,1274,6,7.9,65,19.6,3,1,3,1
Rob Bironas,75,5071,1404,16,21.3,58,24.2,0,0,1,0
Nate Kaeding,72,4554,1271,7,9.7,64,19.9,0,0,1,0
Todd Sauerbrun,69,4485,1292,11,15.9,57,22.7,0,0,1,1
Sebastian Janikowski,67,4365,943,22,32.8,42,22.4,2,1,1,1
Jay Feely,66,3818,1268,8,12.1,49,25.9,6,0,3,2
Jeff Wilkins,66,4183,1578,5,7.6,58,27.2,1,0,1,2
Rian Lindell,65,4022,1150,6,9.2,56,20.5,0,0,1,1
Mike Nugent,65,3970,1270,9,13.8,51,24.9,5,1,2,1
Matt Stover,65,4113,1314,7,10.8,54,24.3,2,0,2,0
Michael Koenen,64,4145,1126,12,18.8,49,23,2,1,2,1
Joe Nedney,57,3457,982,4,7,45,21.8,7,2,2,1
John Carney,55,3452,851,7,12.7,46,18.5,1,1,1,0
John Kasay,53,3205,1123,2,3.8,46,24.4,3,0,5,0
Olindo Mare,52,3306,820,15,28.8,34,24.1,4,1,1,1
Dave Rayner,46,3109,937,3,6.5,41,22.8,0,0,2,0
Josh Scobee,46,2983,697,12,26.1,31,22.5,0,0,3,2
Martin Gramatica,15,873,273,1,6.7,12,22.8,1,0,1,0
Rhys Lloyd,11,694,161,2,18.2,9,17.9,0,0,0,0
Matt Prater,11,756,154,5,45.4,6,25.7,0,0,0,0
Steve Weatherford,10,602,163,0,0,10,16.3,0,0,0,0
Jason Baker,7,453,158,0,0,6,26.3,0,0,1,0
Mike Scifres,5,274,105,0,0,4,26.2,1,0,0,0
Adam Podlesh,4,214,67,0,0,4,16.8,0,0,0,0
Chris Kluwe,2,140,40,0,0,2,20,0,0,0,0
Sam Koch,2,65,21,0,0,2,10.5,1,0,0,0
Kyle Larson,2,67,23,0,0,1,23,1,0,0,0
Justin Medlock,2,136,51,0,0,2,25.5,0,0,0,0
Ryan Plackemeier,2,104,44,0,0,2,22,0,0,0,0
Mitch Berger,1,52,11,0,0,1,11,0,0,0,0
Josh Bidwell,1,31,0,0,0,1,0,0,0,0,0
Dustin Colquitt,1,70,15,0,0,1,15,0,0,0,0
Jeff Feagles,1,56,16,0,0,1,16,0,0,0,0
Brandon Fields,1,60,24,0,0,1,24,0,0,0,0
Derrick Frost,1,59,15,0,0,1,15,0,0,0,0
Nick Harris,1,63,20,0,0,1,20,0,0,0,0
Shane Lechler,1,53,20,0,0,1,20,0,0,0,0
Brian Moorman,1,30,0,0,0,0,0,0,0,1,0
