Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Dirk Johnson,49.8,39.2,157,4,60,199,1,0,0,1,1,2,22,0,0
Shane Lechler,49.1,41.1,3000,73,70,3585,25,3,11,7,12,40,445,2,0
Andy Lee,47.3,41,4306,105,74,4968,42,3,20,13,16,53,402,1,0
Donnie Jones,47.2,39.3,3067,78,80,3684,18,5,8,9,8,48,437,0,0
Mat McBriar,47.1,38.5,2424,63,64,2970,17,6,6,7,9,35,406,1,0
Todd Sauerbrun,46.8,37.6,1767,49,65,2200,14,2,8,6,3,28,313,2,2
Mike Scifres,46.1,40,3244,82,70,3735,36,9,15,9,19,29,311,0,1
Scott Player,45.6,40.3,524,13,57,593,6,3,2,2,0,6,29,0,0
Dustin Colquitt,45.5,39.5,3755,96,81,4322,27,5,12,9,19,50,387,1,1
Chris Kluwe,44.7,37,3001,81,70,3621,34,19,4,9,6,43,440,1,0
Jon Ryan,44.4,38.8,2331,62,72,2664,18,9,7,11,14,19,113,0,2
Nick Harris,44.3,36.4,2476,68,58,3010,26,13,5,5,9,36,434,0,0
Jason Baker,44.2,37.7,3393,90,64,3978,22,5,10,5,16,54,485,0,0
Sam Paulescu,44.2,40,200,5,51,221,1,2,0,0,0,3,21,0,0
Josh Bidwell,43.9,37.7,2902,78,61,3382,30,5,13,10,11,38,280,0,1
Steve Weatherford,43.8,37.2,2342,63,61,2757,20,9,4,4,11,35,335,1,0
Sam Koch,43.6,36.4,2842,79,64,3397,20,8,7,9,16,38,375,0,1
Michael Koenen,43.4,38.8,3417,88,63,3824,30,5,6,5,31,41,307,0,0
Ben Graham,43.3,37.2,2453,67,62,2855,23,6,10,7,12,31,262,0,1
Brandon Fields,43.2,36.6,2820,77,61,3327,10,11,14,6,7,39,387,0,0
Daniel Sepulveda,42.4,37.8,2574,68,59,2880,28,9,12,2,14,31,266,1,0
Sav Rocca,42,34.5,2517,73,65,3066,24,7,9,7,14,36,409,1,0
Craig Hentrich,42,36.5,2555,70,66,2939,24,7,12,6,15,30,264,1,0
Hunter Smith,41.9,34.2,1776,52,63,2181,18,5,7,5,13,22,305,1,0
Brad Maynard,41.8,37.4,3288,88,56,3682,27,12,12,9,17,38,214,0,0
Dave Zastudil,41.8,34.6,1694,49,64,2046,14,5,8,4,6,26,272,1,0
Matt Turk,41.8,37.9,2085,55,59,2296,24,5,11,3,17,19,151,0,0
Adam Podlesh,41.6,36.9,1991,54,76,2249,14,11,9,2,4,28,218,0,0
Jeremy Kapinos,41.6,36.4,182,5,48,208,2,0,2,1,1,1,6,0,0
Chris Hanson,41.4,37,1626,45,64,1821,13,10,6,6,8,14,75,0,1
Kyle Larson,41.3,35.2,2078,59,55,2437,21,3,10,3,10,33,299,1,0
Derrick Frost,41,36.4,2730,75,64,3072,23,5,16,7,15,32,202,0,0
Brian Moorman,40.8,37.6,3046,81,75,3302,30,13,12,3,16,37,196,0,0
Mitch Berger,40.6,33,661,20,56,813,6,0,5,2,3,10,112,0,0
Mike Barr,40.4,32.2,1901,60,61,2385,15,6,8,5,12,28,384,1,1
Jeff Feagles,40.4,36.5,2592,72,60,2865,25,13,8,5,17,28,173,0,1
Josh Miller,40.3,37,111,3,52,121,1,1,0,0,1,1,10,0,0
Ryan Plackemeier,40,34.4,2954,86,62,3436,30,14,14,6,15,37,362,0,0
Paul Ernster,36.2,35.6,427,12,59,434,3,4,4,0,2,2,7,0,0
Jason Elam,31,31,31,1,31,31,1,0,1,0,0,0,0,0,0
John Kasay,30,-17,-34,2,32,60,1,0,1,0,0,1,94,1,0
Robbie Gould,26.5,26.5,53,2,28,53,1,1,0,0,1,0,0,0,0
