Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
T.J. Houshmandzadeh,112,1143,12,9,1,42,70,62.5,2,339,169
Wes Welker,112,1175,8,10,1,42,65,58,2,626,145
Reggie Wayne,104,1510,10,25,5,64,72,69.2,3,376,157
Derrick Mason,103,1087,5,7,1,79,60,58.2,1,299,164
Brandon Marshall,102,1325,7,13,3,68,70,68.6,3,524,170
Larry Fitzgerald,100,1409,10,19,4,48,69,69,3,292,167
Tony Gonzalez,99,1172,5,14,0,31,59,59.6,0,297,156
Marques Colston,98,1202,11,14,2,45,64,65.3,1,388,144
Randy Moss,98,1493,23,18,9,65,74,75.5,0,270,159
Jason Witten,96,1145,7,12,2,53,56,58.3,1,382,142
Bobby Engram,94,1147,6,12,1,49,63,67,1,357,134
Torry Holt,93,1189,7,16,1,40,63,67.7,2,199,147
Chad Johnson,93,1440,8,27,4,70,74,79.6,2,292,161
Brian Westbrook,90,771,5,7,3,57,31,34.4,1,804,120
Steve Smith,87,1002,7,9,4,74,43,49.4,1,456,149
Roddy White,83,1202,6,19,2,69,52,62.6,3,472,137
Jerricho Cotchery,82,1130,2,18,4,50,51,62.2,1,424,127
Donald Driver,82,1048,2,14,4,47,49,59.8,1,430,122
Kellen Winslow,82,1106,5,17,1,49,56,68.3,2,356,149
Terrell Owens,81,1355,15,22,6,52,69,85.2,0,352,144
Braylon Edwards,80,1289,16,21,4,78,57,71.2,3,322,154
Shaun McDonald,79,943,6,12,1,49,46,58.2,2,234,128
Kevin Curtis,77,1110,6,14,4,75,49,63.6,0,346,136
Antonio Gates,75,984,9,15,1,49,54,72,0,307,118
Reggie Bush,73,417,2,1,0,25,24,32.9,0,401,99
Bernard Berrian,71,951,5,11,2,59,47,66.2,1,259,127
Anquan Boldin,71,853,9,14,1,44,43,60.6,2,377,100
Hines Ward,71,732,7,7,0,25,47,66.2,0,252,112
Dwayne Bowe,70,995,5,13,2,58,51,72.9,0,354,117
Plaxico Burress,70,1025,12,15,5,60,49,70,0,270,141
Chris Chambers,66,970,4,16,1,44,46,69.7,1,159,129
Chris Cooley,66,786,8,10,0,39,46,69.7,1,288,110
Kevin Walter,65,800,4,8,2,46,43,66.2,0,163,106
Roy Williams,64,838,5,11,4,91,34,53.1,2,284,103
Owen Daniels,63,768,3,8,0,29,44,69.8,4,219,93
Ike Hilliard,62,722,1,7,2,56,37,59.7,2,300,87
Reggie Brown,61,780,4,8,2,45,38,62.3,1,155,111
Mike Furrey,61,664,1,2,1,49,37,60.7,0,177,90
Santana Moss,61,808,3,11,3,49,43,70.5,1,185,115
Andre Johnson,60,851,8,8,2,77,39,65,1,254,86
LaDainian Tomlinson,60,475,3,6,0,36,21,35,0,552,86
Amani Toomer,59,760,3,8,1,40,42,71.2,0,191,105
Dallas Clark,58,616,11,5,0,39,37,63.8,0,208,101
Joey Galloway,57,1014,6,13,8,69,37,64.9,0,383,98
Jeremy Shockey,57,619,3,8,0,29,33,57.9,0,251,93
Isaac Bruce,55,733,4,13,0,37,36,65.4,0,171,101
